# DEVELOPMENT-ONLY SYNTHETIC PLACEHOLDER — NOT REAL DATA. For pipeline validation only. Safe to delete/replace.
Year,Quarter,Period,quarter_num,time_index,Company,Ticker,Sector,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow,is_synthetic_company,source
2024,Q3,Q3 2024,3,8098,SYN Auto 002,SYNAUT002,Auto,39394.27,33971.33,5422.94,3190.43,156324.12,71338.44,51937.14,84985.69,9472.81,-6503.49,-1461.13,1508.2,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 002,SYNAUT002,Auto,39678.35,33985.25,5693.1,3127.86,144641.09,68405.85,52649.42,76235.25,9986.66,-6405.23,-1117.45,2463.97,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 002,SYNAUT002,Auto,39091.7,33613.02,5478.67,3313.61,140975.89,63708.11,51375.16,77267.79,10410.32,-6729.56,-1229.57,2451.18,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 002,SYNAUT002,Auto,39971.06,34623.11,5347.95,3044.31,133200.21,53022.23,48371.72,80177.98,9034.42,-6450.49,-1329.03,1254.91,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 002,SYNAUT002,Auto,40302.53,34977.76,5324.77,3047.95,132882.26,55332.18,47452.28,77550.07,8410.2,-6293.77,-1606.77,509.67,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 002,SYNAUT002,Auto,40918.24,36283.59,4634.65,3157.75,149282.92,60695.92,55035.13,88587.01,6719.48,-4772.26,-1262.39,684.83,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 003,SYNAUT003,Auto,39250.73,35112.41,4138.32,3103.74,148383.07,74191.53,44514.92,74191.53,6074.46,-3659.25,-1691.98,723.23,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 003,SYNAUT003,Auto,39788.67,35935.53,3853.14,2983.79,134184.07,68334.99,34944.66,65849.08,5228.52,-3125.56,-1497.44,605.51,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 003,SYNAUT003,Auto,40499.01,36786.39,3712.63,2824.57,141289.39,69305.68,44970.07,71983.71,5395.67,-3052.47,-1422.71,920.49,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 003,SYNAUT003,Auto,43191.85,38324.69,4867.16,3682.49,174347.14,93913.08,56975.59,80434.06,6846.12,-4624.69,-2034.02,187.41,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 003,SYNAUT003,Auto,44609.95,39957.77,4652.18,3322.3,180635.64,99523.17,55400.06,81112.47,6583.53,-4391.41,-1932.92,259.19,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 003,SYNAUT003,Auto,46450.62,41251.71,5198.91,3887.58,184456.52,112179.36,47062.34,72277.16,7293.0,-5106.79,-2207.81,-21.59,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 003,SYNAUT003,Auto,46516.45,41729.42,4787.03,3443.25,187632.32,112518.24,53895.48,75114.08,6962.26,-5204.69,-2136.08,-378.52,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 003,SYNAUT003,Auto,45158.73,40119.77,5038.95,3256.53,199268.02,106214.19,59907.68,93053.83,8217.94,-6331.57,-2292.65,-406.28,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 004,SYNAUT004,Auto,118950.71,93988.75,24961.96,18721.44,286887.5,119585.76,100381.03,167301.73,22379.1,-15070.48,-4475.83,2832.78,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 004,SYNAUT004,Auto,122818.83,96358.22,26460.61,18958.15,268781.12,102701.41,97643.6,166079.72,24427.35,-14264.21,-5605.24,4557.9,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 004,SYNAUT004,Auto,134179.18,102516.31,31662.87,21086.23,348338.22,131907.77,124716.96,216430.45,29230.8,-16820.08,-6120.4,6290.32,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 004,SYNAUT004,Auto,145822.58,113867.64,31954.95,21492.78,460814.8,189747.07,160356.03,271067.74,29372.85,-18608.16,-5883.38,4881.31,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 004,SYNAUT004,Auto,146360.11,116187.86,30172.26,17285.11,411162.08,175907.25,132848.1,235254.83,25983.36,-18260.11,-5690.6,2032.65,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 004,SYNAUT004,Auto,145029.79,120570.05,24459.74,12389.68,387901.54,160180.01,135240.58,227721.53,21779.76,-13734.8,-4881.32,3163.64,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 004,SYNAUT004,Auto,138935.23,115045.28,23889.95,16195.21,375788.67,153627.68,143541.61,222161.0,21118.28,-13137.67,-4562.6,3418.01,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 004,SYNAUT004,Auto,135085.6,113632.91,21452.69,13025.72,407001.64,147180.12,168123.56,259821.52,22403.79,-13498.12,-4766.55,4139.13,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 005,SYNAUT005,Auto,41736.8,37177.83,4558.96,3419.22,158412.91,79206.45,31213.56,79206.45,4830.75,-2674.9,-966.15,1189.7,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 005,SYNAUT005,Auto,42433.55,37822.48,4611.07,3586.53,174516.55,92643.12,30360.23,81873.43,5137.13,-2986.54,-956.82,1193.77,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 005,SYNAUT005,Auto,41369.52,37272.36,4097.17,3622.26,152548.3,70149.42,28062.82,82398.88,3691.1,-2028.58,-628.49,1034.03,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 005,SYNAUT005,Auto,42048.49,37949.51,4098.98,3655.38,166277.56,76994.16,31221.48,89283.4,3901.95,-2435.46,-666.45,800.05,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 005,SYNAUT005,Auto,44872.26,39880.83,4991.43,4606.86,173632.36,72769.84,31858.69,100862.52,4864.31,-2649.01,-832.86,1382.43,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 005,SYNAUT005,Auto,44504.96,39328.58,5176.38,4546.04,188424.89,77132.49,33973.15,111292.4,5302.32,-2803.49,-906.54,1592.29,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 005,SYNAUT005,Auto,45829.8,39815.66,6014.13,5191.44,202050.83,98350.28,34113.98,103700.55,7062.05,-3480.82,-1341.13,2240.1,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 005,SYNAUT005,Auto,46233.75,39817.02,6416.73,5146.57,226558.98,116828.51,41388.17,109730.46,6239.81,-3299.07,-1209.97,1730.76,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 006,SYNAUT006,Auto,42601.19,36673.67,5927.52,4464.33,102974.66,45783.17,34623.52,57191.49,5724.3,-3442.86,-1144.86,1136.58,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 006,SYNAUT006,Auto,44689.59,38579.22,6110.37,4115.62,86949.55,39406.58,30049.07,47542.96,4738.02,-2866.3,-976.25,895.46,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 006,SYNAUT006,Auto,45955.6,40737.36,5218.24,3045.6,93173.13,43961.2,30238.42,49211.93,3906.58,-2092.69,-748.37,1065.52,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 006,SYNAUT006,Auto,48435.37,41836.64,6598.73,3685.81,96367.86,42525.49,32686.91,53842.37,5558.23,-3006.27,-910.27,1641.69,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 006,SYNAUT006,Auto,50616.34,43970.65,6645.69,4091.84,108699.72,47288.49,39870.64,61411.23,5566.39,-3298.01,-1071.8,1196.58,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 006,SYNAUT006,Auto,52513.77,45490.6,7023.17,4703.19,122423.02,54338.82,36817.95,68084.2,6130.82,-3825.76,-1146.66,1158.41,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 006,SYNAUT006,Auto,53769.01,45707.07,8061.95,5641.45,127559.58,60562.75,32438.8,66996.83,7865.93,-5473.36,-1624.72,767.85,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 006,SYNAUT006,Auto,57245.88,49833.07,7412.81,4580.5,145075.1,66077.47,33699.69,78997.63,8024.11,-5831.78,-1585.17,607.16,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 007,SYNAUT007,Auto,42651.77,38755.22,3896.55,2964.37,163096.48,81548.24,41213.24,81548.24,5986.2,-3290.66,-1197.24,1498.3,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 007,SYNAUT007,Auto,44152.73,39739.39,4413.34,3402.94,146172.5,67148.32,43525.56,79024.18,7112.66,-3551.55,-1462.85,2098.26,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 007,SYNAUT007,Auto,45663.17,41022.69,4640.48,3891.77,124121.84,59597.36,31955.21,64524.48,7392.09,-3621.17,-1762.58,2008.35,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 007,SYNAUT007,Auto,48243.12,43463.56,4779.56,3692.9,121728.89,56718.49,32312.36,65010.4,7467.35,-3824.28,-1926.02,1717.04,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 007,SYNAUT007,Auto,48945.54,44021.33,4924.21,3901.25,125801.04,57748.1,41454.46,68052.94,7176.12,-3564.35,-1623.25,1988.51,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 007,SYNAUT007,Auto,47508.28,42079.49,5428.79,4266.34,126543.1,59856.37,40219.16,66686.73,8278.81,-4296.51,-1714.98,2267.32,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 007,SYNAUT007,Auto,48628.39,42459.54,6168.85,4949.11,168410.41,84744.69,54350.47,83665.71,8736.36,-4194.83,-1906.55,2634.98,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 007,SYNAUT007,Auto,48787.48,42832.13,5955.35,4421.91,189025.14,92319.55,61106.91,96705.59,9055.51,-5212.41,-2181.23,1661.88,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 008,SYNAUT008,Auto,35283.76,31796.66,3487.1,2791.11,135362.89,67681.44,40608.87,67681.44,5306.06,-3183.63,-906.08,1216.34,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 008,SYNAUT008,Auto,36137.62,32858.74,3278.89,2653.6,120307.4,55956.63,40915.17,64350.77,4859.86,-2903.32,-816.71,1139.83,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 008,SYNAUT008,Auto,37687.97,34501.85,3186.11,2629.88,136119.8,65446.95,46928.08,70672.85,4432.71,-2821.8,-839.3,771.61,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 008,SYNAUT008,Auto,38948.36,35137.99,3810.36,3533.84,135186.18,64364.28,47728.64,70821.89,4870.3,-2851.5,-913.36,1105.45,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 008,SYNAUT008,Auto,40342.45,36454.08,3888.37,3437.02,157238.43,73744.83,57696.97,83493.6,4490.21,-2470.51,-813.81,1205.89,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 008,SYNAUT008,Auto,40256.19,35889.72,4366.47,3527.17,125307.1,58509.48,46250.56,66797.62,4783.91,-2706.53,-921.59,1155.78,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 008,SYNAUT008,Auto,41324.38,37054.41,4269.98,3315.03,122587.37,58900.43,49781.01,63686.94,4912.27,-2966.89,-916.75,1028.63,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 008,SYNAUT008,Auto,43542.29,38543.76,4998.53,4051.51,111058.44,48956.98,46575.55,62101.46,6243.45,-3593.68,-1281.31,1368.46,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 009,SYNAUT009,Auto,133793.86,105163.39,28630.47,20908.97,369106.83,126900.85,108234.08,242205.98,25659.91,-17725.75,-5131.98,2802.18,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 009,SYNAUT009,Auto,144579.5,108882.6,35696.9,22162.05,424559.31,151467.21,117494.93,273092.09,35674.64,-25290.03,-6713.64,3670.97,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 009,SYNAUT009,Auto,145271.94,114457.4,30814.54,20616.34,437885.05,145115.75,127045.81,292769.29,27891.78,-20162.63,-4331.42,3397.73,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 009,SYNAUT009,Auto,143588.01,116414.36,27173.66,17462.25,370920.94,109801.13,116467.64,261119.8,19597.72,-14289.75,-3117.91,2190.07,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 009,SYNAUT009,Auto,145236.24,118323.41,26912.83,19763.91,397207.67,128661.46,113534.05,268546.21,23397.56,-18445.46,-3999.3,952.8,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 009,SYNAUT009,Auto,153238.63,125625.14,27613.49,19192.86,382717.32,127794.72,113227.99,254922.6,29445.86,-21787.22,-5232.16,2426.49,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 009,SYNAUT009,Auto,151750.47,121407.65,30342.82,20059.03,393265.02,124889.98,113909.31,268375.04,30651.35,-21515.52,-5230.44,3905.4,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 009,SYNAUT009,Auto,152882.67,121323.92,31558.75,22243.76,349325.44,127028.51,91646.59,222296.93,26714.17,-21036.02,-5457.07,221.07,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 010,SYNAUT010,Auto,103224.78,92073.06,11151.72,8726.67,295748.78,147874.39,71349.62,147874.39,16715.11,-9035.07,-3361.72,4318.31,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 010,SYNAUT010,Auto,106442.18,95022.1,11420.08,9142.22,314951.64,151104.55,85412.44,163847.09,16826.65,-9794.75,-3387.61,3644.29,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 010,SYNAUT010,Auto,112410.43,102086.66,10323.76,7749.68,326489.37,168532.3,66930.29,157957.07,16705.08,-9193.93,-3422.39,4088.76,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 010,SYNAUT010,Auto,114477.3,105373.02,9104.29,6085.53,354439.54,204523.13,59795.13,149916.41,14286.58,-7986.26,-3213.89,3086.42,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 010,SYNAUT010,Auto,110984.66,101195.51,9789.15,7251.56,356564.27,194721.11,61423.22,161843.16,13980.75,-7363.36,-3466.34,3151.05,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 010,SYNAUT010,Auto,110781.34,101208.89,9572.45,7371.99,383684.63,199996.71,55184.51,183687.91,13703.76,-7254.49,-3141.83,3307.44,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 010,SYNAUT010,Auto,109183.35,101949.52,7233.83,6723.39,354579.03,188397.18,47938.93,166181.85,11389.5,-5683.64,-2631.04,3074.82,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 010,SYNAUT010,Auto,108842.71,100170.01,8672.7,8110.45,335762.45,173337.53,45525.81,162424.91,12485.27,-6898.09,-3044.97,2542.21,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 011,SYNAUT011,Auto,42738.83,34178.23,8560.6,5550.84,101726.33,42167.91,35735.05,59558.42,7652.85,-4591.71,-2042.37,1018.77,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 011,SYNAUT011,Auto,42624.25,33525.85,9098.4,4972.99,101551.73,45134.99,34824.21,56416.74,9067.22,-5412.59,-2369.0,1285.63,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 011,SYNAUT011,Auto,43770.22,33916.1,9854.12,5590.01,101634.01,46990.87,28649.67,54643.13,9858.53,-6540.17,-2574.21,744.15,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 011,SYNAUT011,Auto,44835.67,36137.17,8698.5,5483.69,95351.65,44879.22,27249.88,50472.43,9450.36,-6204.03,-2519.02,727.31,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 011,SYNAUT011,Auto,46370.76,39093.32,7277.44,5323.8,119474.9,60453.48,30734.26,59021.42,7702.99,-5022.76,-2241.54,438.69,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 011,SYNAUT011,Auto,47069.33,38578.56,8490.77,6345.56,136777.87,70374.12,31061.95,66403.75,8907.73,-4927.45,-2590.21,1390.07,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 011,SYNAUT011,Auto,47983.34,38220.39,9762.94,6952.73,146606.92,77030.15,39855.13,69576.77,9209.26,-4741.69,-2799.72,1667.85,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 011,SYNAUT011,Auto,48750.8,39696.46,9054.34,5918.73,134991.13,71691.1,42063.11,63300.03,8745.21,-4609.34,-2856.36,1279.51,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 012,SYNAUT012,Auto,118128.83,100445.65,17683.18,11559.87,352541.96,176270.98,105762.6,176270.98,17866.98,-10720.2,-4792.21,2354.58,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 012,SYNAUT012,Auto,117920.86,100744.49,17176.37,11523.88,317385.9,122874.02,113491.65,194511.88,17218.17,-10646.57,-4452.45,2119.14,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 012,SYNAUT012,Auto,120797.83,102797.6,18000.24,11630.75,265997.29,111929.0,101419.55,154068.3,18266.83,-11698.05,-5551.41,1017.38,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 012,SYNAUT012,Auto,124678.78,106405.97,18272.81,12073.87,230672.67,115013.55,85892.15,115659.12,19101.15,-11237.24,-5414.32,2449.6,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 012,SYNAUT012,Auto,131688.89,113288.78,18400.11,12416.08,267013.66,120474.39,103195.26,146539.27,24128.53,-14199.19,-7320.88,2608.46,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 012,SYNAUT012,Auto,138829.43,118780.19,20049.24,12204.41,302497.91,133848.18,132408.43,168649.73,26842.34,-15463.72,-8879.46,2499.17,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 012,SYNAUT012,Auto,141025.48,121445.87,19579.6,11530.53,320141.57,134240.25,141126.12,185901.32,24067.45,-13934.37,-7767.43,2365.66,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 012,SYNAUT012,Auto,137275.24,119082.65,18192.59,12334.57,368342.8,145000.23,184063.22,223342.56,23269.54,-13148.96,-7275.35,2845.23,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 013,SYNAUT013,Auto,40154.45,34092.85,6061.6,4158.04,108630.05,50829.43,34680.37,57800.62,5856.96,-3940.88,-1171.39,744.7,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 013,SYNAUT013,Auto,41284.3,34933.43,6350.87,4197.79,108746.37,51324.53,34656.53,57421.85,6736.29,-4486.9,-1338.64,910.75,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 013,SYNAUT013,Auto,40221.65,33565.71,6655.95,3459.82,116019.15,54010.58,34010.46,62008.57,7745.64,-5418.58,-1539.92,787.14,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 013,SYNAUT013,Auto,38500.06,32758.21,5741.85,2561.01,104072.5,55017.67,25416.19,49054.83,6759.85,-4765.69,-1293.95,700.21,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 013,SYNAUT013,Auto,38664.91,33465.58,5199.33,2255.26,96913.45,47967.47,26945.6,48945.98,6534.96,-3876.74,-1130.7,1527.51,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 013,SYNAUT013,Auto,39243.15,34415.98,4827.17,2120.49,103826.35,59420.44,26025.85,44405.91,5115.95,-3145.38,-763.54,1207.03,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 013,SYNAUT013,Auto,40041.05,34800.38,5240.67,2372.07,92247.89,50527.8,23223.58,41720.08,5344.68,-3206.87,-810.42,1327.39,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 013,SYNAUT013,Auto,40933.94,34803.51,6130.43,3003.07,100414.26,48731.62,31690.99,51682.64,5769.11,-3600.71,-859.19,1309.22,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 014,SYNAUT014,Auto,36993.65,33009.18,3984.48,3014.57,149216.65,74608.33,45620.72,74608.33,6116.16,-3324.8,-1118.23,1673.12,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 014,SYNAUT014,Auto,37626.92,33410.81,4216.11,3299.73,148492.1,78113.38,44718.38,70378.73,6652.64,-3649.95,-1291.23,1711.46,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 014,SYNAUT014,Auto,38717.16,34813.46,3903.7,3443.22,143512.75,68875.52,41256.95,74637.23,5981.42,-3180.32,-1189.12,1611.98,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 014,SYNAUT014,Auto,36677.07,33178.77,3498.3,3049.09,149297.13,65535.15,48030.92,83761.98,5142.77,-2562.56,-959.74,1620.47,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 014,SYNAUT014,Auto,36967.94,32912.71,4055.23,3204.85,150711.75,74565.77,46990.58,76145.98,6458.6,-3226.2,-1201.34,2031.06,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 014,SYNAUT014,Auto,34280.67,30681.37,3599.3,2801.09,136231.7,65136.96,45187.64,71094.75,6391.5,-3196.59,-1152.24,2042.67,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 014,SYNAUT014,Auto,32690.97,28578.37,4112.6,3177.84,129023.95,54395.17,49599.15,74628.78,8111.05,-3802.76,-1381.43,2926.86,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 014,SYNAUT014,Auto,33427.75,29313.77,4113.97,2810.23,134907.57,60990.43,43177.11,73917.13,8545.09,-4125.35,-1520.85,2898.88,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 015,SYNAUT015,Auto,124613.55,105520.92,19092.63,13171.98,519319.5,257457.97,114001.77,261861.53,18323.36,-12399.44,-3664.68,2259.24,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 015,SYNAUT015,Auto,127013.99,111017.71,15996.27,11224.78,565336.7,259935.77,134187.81,305400.93,15928.3,-11754.43,-3614.16,559.71,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 015,SYNAUT015,Auto,128518.79,112413.23,16105.56,10803.44,597206.85,264368.85,175961.65,332838.0,15749.46,-11068.21,-3752.85,928.4,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 015,SYNAUT015,Auto,132811.04,119358.23,13452.81,9442.81,562975.0,266486.54,137581.63,296488.46,14703.99,-9061.71,-3362.97,2279.3,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 015,SYNAUT015,Auto,136836.49,121846.36,14990.12,10033.81,625470.69,273147.73,181041.63,352322.97,15530.01,-9780.18,-3139.04,2610.79,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 015,SYNAUT015,Auto,140376.47,124087.49,16288.98,10952.07,667666.27,309718.36,181689.04,357947.91,18183.89,-11784.11,-2806.92,3592.86,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 015,SYNAUT015,Auto,143813.26,124378.05,19435.21,14235.19,676469.27,281869.33,201982.45,394599.94,20224.57,-14481.7,-3460.74,2282.14,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 015,SYNAUT015,Auto,147728.46,125093.64,22634.82,15698.75,643367.27,270211.85,188346.5,373155.42,23168.91,-16756.83,-3503.3,2908.79,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 016,SYNAUT016,Auto,105150.1,93010.35,12139.75,9104.81,394977.71,197488.84,113387.37,197488.87,11786.38,-7903.15,-2357.27,1525.95,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 016,SYNAUT016,Auto,107167.75,93145.07,14022.68,10978.53,453120.17,219648.15,131962.1,233472.02,13312.04,-8993.09,-2507.25,1811.7,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 016,SYNAUT016,Auto,107714.35,93349.54,14364.8,10177.12,438525.48,220095.11,120891.82,218430.37,12875.54,-8685.73,-2344.67,1845.14,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 016,SYNAUT016,Auto,109392.19,94059.06,15333.13,11639.15,400206.43,184043.02,138872.73,216163.41,15651.98,-9025.83,-2993.86,3632.29,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 016,SYNAUT016,Auto,113609.81,96731.04,16878.77,11340.03,408639.31,198150.67,132065.94,210488.64,16875.16,-12185.29,-2959.47,1730.39,True,synthetic
