Company,Ticker,Sector,Year,Quarter,Period,quarter_num,time_index,source,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow
ITC,ITC,FMCG,2024,Q1,Q1 2024,1,8096,mock,18340.65,11634.46,6706.19,5029.65,63753.05,31876.52,19125.91,31876.52,6304.71,-3782.82,-1260.94,1260.94
ITC,ITC,FMCG,2024,Q2,Q2 2024,2,8097,mock,19159.69,12437.12,6722.57,5041.93,75493.0,37746.5,22647.9,37746.5,6551.79,-3931.07,-1310.36,1310.36
ITC,ITC,FMCG,2024,Q3,Q3 2024,3,8098,mock,19595.63,13126.64,6468.99,4851.75,77521.6,38760.8,23256.48,38760.8,6402.18,-3841.31,-1280.44,1280.44
ITC,ITC,FMCG,2024,Q4,Q4 2024,4,8099,mock,20197.48,12829.86,7367.62,5525.71,78696.37,39348.18,23608.91,39348.18,7099.64,-4259.78,-1419.93,1419.93
ITC,ITC,FMCG,2025,Q1,Q1 2025,1,8100,mock,20111.54,13173.41,6938.13,5203.6,84128.2,42064.1,25238.46,42064.1,6886.16,-4131.7,-1377.23,1377.23
ITC,ITC,FMCG,2025,Q2,Q2 2025,2,8101,mock,20712.12,13572.61,7139.52,5354.64,84974.67,42487.33,25492.4,42487.33,7054.13,-4232.48,-1410.83,1410.83
ITC,ITC,FMCG,2025,Q3,Q3 2025,3,8102,mock,21186.69,13566.12,7620.56,5715.42,81771.91,40885.96,24531.57,40885.96,7350.86,-4410.52,-1470.17,1470.17
ITC,ITC,FMCG,2025,Q4,Q4 2025,4,8103,mock,21402.16,13995.32,7406.84,5555.13,79344.16,39672.08,23803.25,39672.08,7142.01,-4285.21,-1428.4,1428.4
Infosys,INFY,Tech,2024,Q1,Q1 2024,1,8096,mock,40146.74,31269.93,8876.81,6657.61,151345.23,75672.62,45403.57,75672.62,9684.52,-5810.71,-1936.9,1936.9
Infosys,INFY,Tech,2024,Q2,Q2 2024,2,8097,mock,41402.17,32542.37,8859.8,6644.85,163193.32,81596.66,48958.0,81596.66,9908.72,-5945.23,-1981.74,1981.74
Infosys,INFY,Tech,2024,Q3,Q3 2024,3,8098,mock,41482.85,31588.25,9894.61,7420.95,165819.43,82909.71,49745.83,82909.71,10737.34,-6442.41,-2147.47,2147.47
Infosys,INFY,Tech,2024,Q4,Q4 2024,4,8099,mock,40996.2,31639.83,9356.38,7017.28,153974.82,76987.41,46192.45,76987.41,10096.78,-6058.07,-2019.36,2019.36
Infosys,INFY,Tech,2025,Q1,Q1 2025,1,8100,mock,42073.01,33641.44,8431.57,6323.68,157115.87,78557.93,47134.76,78557.93,9465.99,-5679.6,-1893.2,1893.2
Infosys,INFY,Tech,2025,Q2,Q2 2025,2,8101,mock,43162.94,33348.35,9814.59,7360.94,174131.12,87065.56,52239.34,87065.56,10843.57,-6506.14,-2168.71,2168.71
Infosys,INFY,Tech,2025,Q3,Q3 2025,3,8102,mock,43876.45,34355.74,9520.71,7140.53,162531.34,81265.67,48759.4,81265.67,10391.16,-6234.69,-2078.23,2078.23
Infosys,INFY,Tech,2025,Q4,Q4 2025,4,8103,mock,43806.45,34370.82,9435.63,7076.72,184487.56,92243.78,55346.27,92243.78,10766.47,-6459.88,-2153.29,2153.29
Maruti Suzuki,MARUTI,Auto,2024,Q1,Q1 2024,1,8096,mock,35442.34,31810.83,3631.52,2723.64,135464.07,67732.04,40639.22,67732.04,5432.92,-3259.75,-1086.58,1086.58
Maruti Suzuki,MARUTI,Auto,2024,Q2,Q2 2024,2,8097,mock,35283.76,31429.75,3854.01,2890.51,143542.48,71771.24,43062.74,71771.24,5761.36,-3456.81,-1152.27,1152.27
Maruti Suzuki,MARUTI,Auto,2024,Q3,Q3 2024,3,8098,mock,36282.32,31991.14,4291.18,3218.38,145223.62,72611.81,43567.09,72611.81,6122.85,-3673.71,-1224.57,1224.57
Maruti Suzuki,MARUTI,Auto,2024,Q4,Q4 2024,4,8099,mock,38590.09,34447.31,4142.78,3107.08,175354.69,87677.34,52606.41,87677.34,6614.18,-3968.51,-1322.84,1322.84
Maruti Suzuki,MARUTI,Auto,2025,Q1,Q1 2025,1,8100,mock,40086.23,36020.35,4065.88,3049.41,151759.32,75879.66,45527.79,75879.66,6084.6,-3650.76,-1216.92,1216.92
Maruti Suzuki,MARUTI,Auto,2025,Q2,Q2 2025,2,8101,mock,41468.17,36999.34,4468.83,3351.62,171794.34,85897.17,51538.3,85897.17,6787.51,-4072.51,-1357.5,1357.5
Maruti Suzuki,MARUTI,Auto,2025,Q3,Q3 2025,3,8102,mock,42886.26,38200.01,4686.26,3514.69,164281.89,82140.94,49284.57,82140.94,6800.33,-4080.2,-1360.07,1360.07
Maruti Suzuki,MARUTI,Auto,2025,Q4,Q4 2025,4,8103,mock,41795.0,37384.17,4410.83,3308.12,174338.66,87169.33,52301.6,87169.33,6794.9,-4076.94,-1358.98,1358.98
ONGC,ONGC,Energy,2024,Q1,Q1 2024,1,8096,mock,166996.95,148475.97,18520.99,13890.74,714840.29,357420.14,214452.09,357420.14,28187.54,-16912.53,-5637.51,5637.51
ONGC,ONGC,Energy,2024,Q2,Q2 2024,2,8097,mock,163313.75,142757.68,20556.07,15417.05,724801.29,362400.64,217440.39,362400.64,29913.08,-17947.85,-5982.62,5982.62
ONGC,ONGC,Energy,2024,Q3,Q3 2024,3,8098,mock,161726.98,143235.59,18491.38,13868.54,650131.17,325065.58,195039.35,325065.58,26871.16,-16122.7,-5374.23,5374.23
ONGC,ONGC,Energy,2024,Q4,Q4 2024,4,8099,mock,162518.75,145536.62,16982.13,12736.6,652303.54,326151.77,195691.06,326151.77,25782.67,-15469.6,-5156.53,5156.53
ONGC,ONGC,Energy,2025,Q1,Q1 2025,1,8100,mock,160589.79,140558.48,20031.32,15023.49,612829.15,306414.57,183848.74,306414.57,27280.07,-16368.04,-5456.01,5456.01
ONGC,ONGC,Energy,2025,Q2,Q2 2025,2,8101,mock,171268.7,152057.92,19210.78,14408.08,674042.99,337021.49,202212.9,337021.49,27888.94,-16733.37,-5577.79,5577.79
ONGC,ONGC,Energy,2025,Q3,Q3 2025,3,8102,mock,178873.97,159610.79,19263.18,14447.39,723633.23,361816.62,217089.97,361816.62,28920.05,-17352.03,-5784.01,5784.01
ONGC,ONGC,Energy,2025,Q4,Q4 2025,4,8103,mock,189465.87,169775.6,19690.27,14767.7,764859.84,382429.92,229457.95,382429.92,30064.9,-18038.94,-6012.98,6012.98
Reliance Industries,RELIANCE,Energy,2024,Q1,Q1 2024,1,8096,mock,226354.39,191810.32,34544.07,25908.05,905649.07,452824.53,271694.72,452824.53,44021.03,-26412.62,-8804.21,8804.21
Reliance Industries,RELIANCE,Energy,2024,Q2,Q2 2024,2,8097,mock,229288.49,198140.5,31147.99,23360.99,897864.12,448932.06,269359.24,448932.06,41318.28,-24790.97,-8263.66,8263.66
Reliance Industries,RELIANCE,Energy,2024,Q3,Q3 2024,3,8098,mock,231516.84,198646.72,32870.12,24652.59,918599.3,459299.65,275579.79,459299.65,43024.58,-25814.75,-8604.92,8604.92
Reliance Industries,RELIANCE,Energy,2024,Q4,Q4 2024,4,8099,mock,238953.52,198603.38,40350.13,30262.6,964157.26,482078.63,289247.18,482078.63,49545.75,-29727.45,-9909.15,9909.15
Reliance Industries,RELIANCE,Energy,2025,Q1,Q1 2025,1,8100,mock,245578.86,208924.86,36654.01,27490.5,888073.52,444036.76,266422.06,444036.76,45251.98,-27151.19,-9050.4,9050.4
Reliance Industries,RELIANCE,Energy,2025,Q2,Q2 2025,2,8101,mock,250295.1,212600.08,37695.02,28271.26,1124487.9,562243.95,337346.37,562243.95,50761.02,-30456.61,-10152.2,10152.2
Reliance Industries,RELIANCE,Energy,2025,Q3,Q3 2025,3,8102,mock,253856.6,215012.61,38843.99,29132.99,1013664.02,506832.01,304099.21,506832.01,49406.27,-29643.76,-9881.25,9881.25
Reliance Industries,RELIANCE,Energy,2025,Q4,Q4 2025,4,8103,mock,250033.43,209670.97,40362.45,30271.84,1037735.39,518867.7,311320.62,518867.7,51026.55,-30615.93,-10205.31,10205.31
TCS,TCS,Tech,2024,Q1,Q1 2024,1,8096,mock,62094.09,46656.42,15437.67,11578.25,256419.87,128209.93,76925.96,128209.93,16706.65,-10023.99,-3341.33,3341.33
TCS,TCS,Tech,2024,Q2,Q2 2024,2,8097,mock,66173.1,49784.77,16388.33,12291.25,261593.69,130796.85,78478.11,130796.85,17523.12,-10513.87,-3504.62,3504.62
TCS,TCS,Tech,2024,Q3,Q3 2024,3,8098,mock,70631.61,52431.65,18199.95,13649.96,275894.48,137947.24,82768.34,137947.24,19167.85,-11500.71,-3833.57,3833.57
TCS,TCS,Tech,2024,Q4,Q4 2024,4,8099,mock,73193.89,55234.61,17959.28,13469.46,285957.86,142978.93,85787.36,142978.93,19188.62,-11513.17,-3837.72,3837.72
TCS,TCS,Tech,2025,Q1,Q1 2025,1,8100,mock,75189.08,57830.39,17358.69,13019.02,274817.31,137408.66,82445.19,137408.66,18515.36,-11109.22,-3703.07,3703.07
TCS,TCS,Tech,2025,Q2,Q2 2025,2,8101,mock,75424.52,57332.31,18092.21,13569.16,306438.48,153219.24,91931.54,153219.24,19697.93,-11818.76,-3939.59,3939.59
TCS,TCS,Tech,2025,Q3,Q3 2025,3,8102,mock,74878.39,57216.31,17662.09,13246.57,321462.66,160731.33,96438.8,160731.33,19675.82,-11805.49,-3935.16,3935.16
TCS,TCS,Tech,2025,Q4,Q4 2025,4,8103,mock,75868.79,56850.36,19018.43,14263.82,281856.37,140928.19,84556.91,140928.19,19900.95,-11940.57,-3980.19,3980.19
Tata Motors,TATAMOTORS,Auto,2024,Q1,Q1 2024,1,8096,mock,102779.65,91698.13,11081.52,8311.14,385691.92,192845.96,115707.58,192845.96,16024.98,-9614.99,-3205.0,3205.0
Tata Motors,TATAMOTORS,Auto,2024,Q2,Q2 2024,2,8097,mock,100763.76,90161.46,10602.3,7951.73,409040.1,204520.05,122712.03,204520.05,16132.53,-9679.52,-3226.51,3226.51
Tata Motors,TATAMOTORS,Auto,2024,Q3,Q3 2024,3,8098,mock,103536.25,92823.93,10712.32,8034.24,400063.57,200031.78,120019.07,200031.78,16035.51,-9621.31,-3207.1,3207.1
Tata Motors,TATAMOTORS,Auto,2024,Q4,Q4 2024,4,8099,mock,106328.38,95383.92,10944.46,8208.34,410122.35,205061.17,123036.7,205061.17,16410.79,-9846.47,-3282.16,3282.16
Tata Motors,TATAMOTORS,Auto,2025,Q1,Q1 2025,1,8100,mock,114406.49,102423.74,11982.74,8987.06,430367.39,215183.69,129110.22,215183.69,17594.41,-10556.64,-3518.88,3518.88
Tata Motors,TATAMOTORS,Auto,2025,Q2,Q2 2025,2,8101,mock,118948.04,108212.6,10735.44,8051.58,494516.59,247258.29,148354.98,247258.29,17941.91,-10765.15,-3588.38,3588.38
Tata Motors,TATAMOTORS,Auto,2025,Q3,Q3 2025,3,8102,mock,125461.38,113944.88,11516.5,8637.37,526018.82,263009.41,157805.65,263009.41,19157.75,-11494.65,-3831.55,3831.55
Tata Motors,TATAMOTORS,Auto,2025,Q4,Q4 2025,4,8103,mock,129524.25,115507.06,14017.19,10512.89,567233.13,283616.57,170169.94,283616.57,21857.56,-13114.53,-4371.51,4371.51
HDFC Bank,HDFCBANK,Banking,2024,Q1,Q1 2024,1,8096,real,117286.88,92125.05,25161.83,20173.54,3438065.55,1525140.04,2234742.61,2922355.71,71744.52,-40161.52,-10653.64,20929.36
HDFC Bank,HDFCBANK,Banking,2024,Q2,Q2 2024,2,8097,real,117271.98,94146.27,23125.72,17986.52,3396859.64,1815136.01,2207958.77,2887330.7,68939.42,-43897.27,-13766.4,11275.74
HDFC Bank,HDFCBANK,Banking,2024,Q3,Q3 2024,3,8098,real,119212.53,95035.39,24177.13,19577.43,3486689.4,1388182.47,2266348.11,2963685.99,71877.77,-34870.26,-12407.29,24600.22
HDFC Bank,HDFCBANK,Banking,2024,Q4,Q4 2024,4,8099,real,123208.95,94807.57,28401.39,18433.84,3521715.18,1470202.94,2289114.87,2993457.91,71259.57,-32492.23,-11189.11,27578.23
HDFC Bank,HDFCBANK,Banking,2025,Q1,Q1 2025,1,8100,real,125176.65,99751.98,25424.67,19772.85,3534223.58,1548175.82,2297245.33,3004090.04,72786.2,-50283.7,-19878.02,2624.48
HDFC Bank,HDFCBANK,Banking,2025,Q2,Q2 2025,2,8101,real,125610.34,98104.97,27505.36,19986.09,3535101.28,1608353.06,2297815.83,3004836.09,73012.61,-41725.53,-11389.66,19897.42
HDFC Bank,HDFCBANK,Banking,2025,Q3,Q3 2025,3,8102,real,125829.84,98508.94,27320.91,19225.66,3538952.05,1304538.69,2300318.83,3008109.24,72309.95,-31415.13,-16061.77,24833.04
HDFC Bank,HDFCBANK,Banking,2025,Q4,Q4 2025,4,8103,real,129324.37,104131.39,25192.98,20210.41,3593943.23,1500141.36,2336063.1,3054851.75,74119.56,-37132.51,-9404.51,27582.54
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q1,Q1 2024,1,8096,real,14601.05,11237.2,3363.85,2456.59,74123.49,37591.07,21317.67,37061.75,3568.44,-1681.78,-876.56,1010.1
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q2,Q2 2024,2,8097,real,15229.71,11980.45,3249.26,2609.69,77409.27,31000.34,17160.48,38704.64,3770.83,-1554.46,-822.71,1393.66
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q3,Q3 2024,3,8098,real,14985.83,11568.25,3417.58,2444.33,76862.3,31054.58,25172.15,38431.15,3597.27,-2449.81,-458.67,688.79
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q4,Q4 2024,4,8099,real,14975.86,11619.06,3356.81,2583.17,76299.16,35202.37,24061.48,38149.58,3727.65,-2083.37,-553.07,1091.21
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q1,Q1 2025,1,8100,real,15278.34,11685.08,3593.26,2478.7,76970.04,36645.21,20385.46,38485.02,3633.25,-2420.2,-930.02,283.03
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q2,Q2 2025,2,8101,real,15299.72,11785.51,3514.21,2599.22,78187.45,42478.36,21399.25,39093.72,3772.03,-2246.58,-546.39,979.06
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q3,Q3 2025,3,8102,real,15230.97,11648.05,3582.92,2653.45,78847.56,39279.39,21339.23,39423.78,3836.16,-2291.28,-819.64,725.24
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q4,Q4 2025,4,8103,real,15384.69,12002.65,3382.03,2522.68,79595.31,35511.04,21256.53,39797.66,3716.61,-2481.26,-840.8,394.55
ICICI Bank,ICICIBANK,Banking,2024,Q1,Q1 2024,1,8096,real,59493.86,45632.3,13861.56,10770.65,2274016.74,1083546.71,1478110.88,1932914.23,44880.9,-24301.79,-8184.85,12394.26
ICICI Bank,ICICIBANK,Banking,2024,Q2,Q2 2024,2,8097,real,61072.91,46615.13,14457.78,10914.66,2308969.42,1049032.9,1500830.13,1962624.01,45549.2,-26069.72,-12223.85,7255.64
ICICI Bank,ICICIBANK,Banking,2024,Q3,Q3 2024,3,8098,real,62401.37,47759.42,14641.96,10884.14,2335852.18,1097202.58,1518303.92,1985474.36,45921.92,-27532.91,-9396.23,8992.79
ICICI Bank,ICICIBANK,Banking,2024,Q4,Q4 2024,4,8099,real,64424.58,49252.59,15171.99,11781.04,2359332.69,821269.02,1533566.25,2005432.79,47171.03,-25415.94,-7560.36,14194.73
ICICI Bank,ICICIBANK,Banking,2025,Q1,Q1 2025,1,8100,real,65414.68,48699.61,16715.07,11676.14,2386759.12,1173021.17,1551393.42,2028745.25,47477.52,-31902.13,-10675.21,4900.19
ICICI Bank,ICICIBANK,Banking,2025,Q2,Q2 2025,2,8101,real,64461.48,48333.35,16128.12,11509.72,2404970.8,1158327.95,1563231.02,2044225.18,47584.29,-31794.29,-12263.4,3526.6
ICICI Bank,ICICIBANK,Banking,2025,Q3,Q3 2025,3,8102,real,64836.18,49906.88,14929.3,11736.07,2417128.68,1096357.14,1571133.64,2054559.37,47993.0,-30175.01,-13215.02,4602.97
ICICI Bank,ICICIBANK,Banking,2025,Q4,Q4 2025,4,8103,real,67154.12,51462.88,15691.24,11786.23,2436912.62,1042475.49,1583993.21,2071375.73,48339.92,-22660.57,-11816.72,13862.63
ITC,ITC,FMCG,2024,Q1,Q1 2024,1,8096,real,17071.6,10156.85,6914.75,4915.63,87312.14,42021.88,18086.02,43656.07,6225.32,-3014.5,-652.81,2558.01
ITC,ITC,FMCG,2024,Q2,Q2 2024,2,8097,real,16962.03,10256.38,6705.66,4887.58,86462.97,40954.21,21300.89,43231.48,6184.52,-4261.67,-1673.54,249.31
ITC,ITC,FMCG,2024,Q3,Q3 2024,3,8098,real,16929.2,10574.65,6354.54,4859.24,87442.5,40285.17,16414.1,43721.25,6170.88,-4201.42,-1476.11,493.35
ITC,ITC,FMCG,2024,Q4,Q4 2024,4,8099,real,16883.88,10264.62,6619.25,4888.84,86549.33,40495.51,24064.11,43274.66,6187.08,-3768.58,-1487.97,930.53
ITC,ITC,FMCG,2025,Q1,Q1 2025,1,8100,real,16671.93,10317.75,6354.18,4865.55,88854.19,42272.59,39330.11,44427.09,6198.36,-3963.78,-1425.58,809.0
ITC,ITC,FMCG,2025,Q2,Q2 2025,2,8101,real,17240.11,10395.4,6844.71,4959.79,89927.38,36992.41,21417.02,44963.69,6308.7,-3617.94,-676.22,2014.54
ITC,ITC,FMCG,2025,Q3,Q3 2025,3,8102,real,18296.81,11493.4,6803.41,5355.42,88646.94,37799.36,26988.34,44323.47,6685.12,-2928.87,-1366.76,2389.48
ITC,ITC,FMCG,2025,Q4,Q4 2025,4,8103,real,18309.5,11035.06,7274.45,5229.45,91146.87,41223.78,19817.15,45573.43,6596.65,-3708.57,-1500.64,1387.43
Infosys,INFY,Tech,2024,Q1,Q1 2024,1,8096,real,37310.13,26378.38,10931.75,7683.66,124613.48,58140.06,37231.68,62306.74,9552.86,-4769.45,-1076.72,3706.69
Infosys,INFY,Tech,2024,Q2,Q2 2024,2,8097,real,37044.23,26978.5,10065.73,7934.84,127962.25,57122.28,38411.28,63981.13,9854.27,-4295.26,-2391.13,3167.88
Infosys,INFY,Tech,2024,Q3,Q3 2024,3,8098,real,37867.64,26542.78,11324.86,7950.58,129494.92,41310.53,37695.34,64747.46,9893.01,-4032.64,-1202.77,4657.59
Infosys,INFY,Tech,2024,Q4,Q4 2024,4,8099,real,38501.58,27694.42,10807.16,8108.25,126191.01,55399.92,33800.97,63095.5,10001.11,-5231.73,-2511.38,2258.0
Infosys,INFY,Tech,2025,Q1,Q1 2025,1,8100,real,38456.54,27739.99,10716.55,8257.13,130427.38,55237.56,35954.05,65213.69,10213.54,-6820.27,-2123.07,1270.2
Infosys,INFY,Tech,2025,Q2,Q2 2025,2,8101,real,38493.42,27699.58,10793.84,8013.4,129329.14,60112.96,34020.39,64664.57,9953.33,-4002.09,-2012.06,3939.18
Infosys,INFY,Tech,2025,Q3,Q3 2025,3,8102,real,37981.17,27366.29,10614.89,7916.14,131436.98,58086.7,35514.61,65718.49,9887.7,-5493.97,-2379.02,2014.71
Infosys,INFY,Tech,2025,Q4,Q4 2025,4,8103,real,38746.53,27783.6,10962.93,7770.33,133714.54,60574.22,49897.2,66857.27,9776.04,-4061.39,-1522.42,4192.23
Maruti Suzuki,MARUTI,Auto,2024,Q1,Q1 2024,1,8096,real,35720.89,30379.05,5341.84,3678.2,94288.94,49742.85,24117.58,47144.47,5092.53,-2831.7,-1377.21,883.63
Maruti Suzuki,MARUTI,Auto,2024,Q2,Q2 2024,2,8097,real,37728.94,31906.59,5822.35,3775.31,96882.22,46723.27,30850.36,48441.11,5228.54,-3195.81,-745.55,1287.18
Maruti Suzuki,MARUTI,Auto,2024,Q3,Q3 2024,3,8098,real,39093.54,34434.38,4659.15,3729.23,94923.98,41437.13,27136.59,47461.99,5153.09,-2855.83,-1322.96,974.31
Maruti Suzuki,MARUTI,Auto,2024,Q4,Q4 2024,4,8099,real,40953.31,35917.44,5035.86,3800.14,97795.65,45886.04,24289.04,48897.82,5267.07,-2885.23,-873.02,1508.83
Maruti Suzuki,MARUTI,Auto,2025,Q1,Q1 2025,1,8100,real,40499.16,34689.0,5810.16,4177.16,97871.4,41527.49,19284.51,48935.7,5645.23,-3776.87,-1099.65,768.72
Maruti Suzuki,MARUTI,Auto,2025,Q2,Q2 2025,2,8101,real,40308.23,34592.22,5716.01,3976.71,98959.11,44002.02,19617.44,49479.55,5461.1,-2522.48,-943.97,1994.64
Maruti Suzuki,MARUTI,Auto,2025,Q3,Q3 2025,3,8102,real,42496.74,36669.6,5827.14,4156.62,100915.48,44845.18,24113.91,50457.74,5670.35,-3639.57,-1415.61,615.16
Maruti Suzuki,MARUTI,Auto,2025,Q4,Q4 2025,4,8103,real,42683.3,37091.41,5591.89,4265.5,99310.1,37165.86,31614.75,49655.05,5755.15,-3100.65,-1435.88,1218.63
ONGC,ONGC,Energy,2024,Q1,Q1 2024,1,8096,real,161921.5,147513.38,14408.11,10962.19,654092.59,267229.69,145202.63,327046.29,20773.58,-12987.32,-5429.53,2356.73
ONGC,ONGC,Energy,2024,Q2,Q2 2024,2,8097,real,164282.63,149976.51,14306.12,11503.84,652616.33,311529.58,156556.37,326308.17,21293.08,-14000.71,-3956.23,3336.14
ONGC,ONGC,Energy,2024,Q3,Q3 2024,3,8098,real,169458.9,153522.28,15936.62,11889.87,663139.26,321024.15,155497.31,331569.63,21836.96,-11284.48,-2231.03,8321.45
ONGC,ONGC,Energy,2024,Q4,Q4 2024,4,8099,real,173099.44,158453.9,14645.54,11099.37,673484.58,275515.11,238830.67,336742.29,21201.64,-10345.62,-3513.81,7342.21
ONGC,ONGC,Energy,2025,Q1,Q1 2025,1,8100,real,179705.3,162844.32,16860.98,11996.58,680247.62,305694.89,139544.15,340123.81,22200.29,-9263.46,-4659.97,8276.86
ONGC,ONGC,Energy,2025,Q2,Q2 2025,2,8101,real,185905.56,170207.97,15697.59,11063.03,680306.54,320183.94,150901.36,340153.27,21267.63,-12451.46,-2556.89,6259.28
ONGC,ONGC,Energy,2025,Q3,Q3 2025,3,8102,real,189604.96,174277.36,15327.6,11619.21,690598.82,260767.2,124050.06,345299.41,21978.2,-14150.44,-6361.58,1466.17
ONGC,ONGC,Energy,2025,Q4,Q4 2025,4,8103,real,189724.62,173830.51,15894.11,12368.32,705761.1,347857.64,170796.36,352880.55,22954.74,-9947.65,-4557.09,8450.0
