Company,Ticker,Sector,Year,Quarter,Period,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q3,Q3 2025,16675.5,13173.05,3502.44,2626.83,67908.07,33954.04,20372.42,33954.04,3984.99,-2391.0,-797.0,797.0
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q4,Q4 2025,16686.27,13288.72,3397.56,2548.17,71877.92,35938.96,21563.38,35938.96,3985.73,-2391.44,-797.15,797.15
ITC,ITC,FMCG,2024,Q1,Q1 2024,18340.65,11634.46,6706.19,5029.65,63753.05,31876.52,19125.91,31876.52,6304.71,-3782.82,-1260.94,1260.94
ITC,ITC,FMCG,2024,Q2,Q2 2024,19159.69,12437.12,6722.57,5041.93,75493.0,37746.5,22647.9,37746.5,6551.79,-3931.07,-1310.36,1310.36
ITC,ITC,FMCG,2024,Q3,Q3 2024,19595.63,13126.64,6468.99,4851.75,77521.6,38760.8,23256.48,38760.8,6402.18,-3841.31,-1280.44,1280.44
ITC,ITC,FMCG,2024,Q4,Q4 2024,20197.48,12829.86,7367.62,5525.71,78696.37,39348.18,23608.91,39348.18,7099.64,-4259.78,-1419.93,1419.93
ITC,ITC,FMCG,2025,Q1,Q1 2025,20111.54,13173.41,6938.13,5203.6,84128.2,42064.1,25238.46,42064.1,6886.16,-4131.7,-1377.23,1377.23
ITC,ITC,FMCG,2025,Q2,Q2 2025,20712.12,13572.61,7139.52,5354.64,84974.67,42487.33,25492.4,42487.33,7054.13,-4232.48,-1410.83,1410.83
ITC,ITC,FMCG,2025,Q3,Q3 2025,21186.69,13566.12,7620.56,5715.42,81771.91,40885.96,24531.57,40885.96,7350.86,-4410.52,-1470.17,1470.17
ITC,ITC,FMCG,2025,Q4,Q4 2025,21402.16,13995.32,7406.84,5555.13,79344.16,39672.08,23803.25,39672.08,7142.01,-4285.21,-1428.4,1428.4
Reliance Industries,RELIANCE,Energy,2024,Q1,Q1 2024,226354.39,191810.32,34544.07,25908.05,905649.07,452824.53,271694.72,452824.53,44021.03,-26412.62,-8804.21,8804.21
Reliance Industries,RELIANCE,Energy,2024,Q2,Q2 2024,229288.49,198140.5,31147.99,23360.99,897864.12,448932.06,269359.24,448932.06,41318.28,-24790.97,-8263.66,8263.66
Reliance Industries,RELIANCE,Energy,2024,Q3,Q3 2024,231516.84,198646.72,32870.12,24652.59,918599.3,459299.65,275579.79,459299.65,43024.58,-25814.75,-8604.92,8604.92
Reliance Industries,RELIANCE,Energy,2024,Q4,Q4 2024,238953.52,198603.38,40350.13,30262.6,964157.26,482078.63,289247.18,482078.63,49545.75,-29727.45,-9909.15,9909.15
Reliance Industries,RELIANCE,Energy,2025,Q1,Q1 2025,245578.86,208924.86,36654.01,27490.5,888073.52,444036.76,266422.06,444036.76,45251.98,-27151.19,-9050.4,9050.4
Reliance Industries,RELIANCE,Energy,2025,Q2,Q2 2025,250295.1,212600.08,37695.02,28271.26,1124487.9,562243.95,337346.37,562243.95,50761.02,-30456.61,-10152.2,10152.2
Reliance Industries,RELIANCE,Energy,2025,Q3,Q3 2025,253856.6,215012.61,38843.99,29132.99,1013664.02,506832.01,304099.21,506832.01,49406.27,-29643.76,-9881.25,9881.25
Reliance Industries,RELIANCE,Energy,2025,Q4,Q4 2025,250033.43,209670.97,40362.45,30271.84,1037735.39,518867.7,311320.62,518867.7,51026.55,-30615.93,-10205.31,10205.31
ONGC,ONGC,Energy,2024,Q1,Q1 2024,166996.95,148475.97,18520.99,13890.74,714840.29,357420.14,214452.09,357420.14,28187.54,-16912.53,-5637.51,5637.51
ONGC,ONGC,Energy,2024,Q2,Q2 2024,163313.75,142757.68,20556.07,15417.05,724801.29,362400.64,217440.39,362400.64,29913.08,-17947.85,-5982.62,5982.62
ONGC,ONGC,Energy,2024,Q3,Q3 2024,161726.98,143235.59,18491.38,13868.54,650131.17,325065.58,195039.35,325065.58,26871.16,-16122.7,-5374.23,5374.23
ONGC,ONGC,Energy,2024,Q4,Q4 2024,162518.75,145536.62,16982.13,12736.6,652303.54,326151.77,195691.06,326151.77,25782.67,-15469.6,-5156.53,5156.53
ONGC,ONGC,Energy,2025,Q1,Q1 2025,160589.79,140558.48,20031.32,15023.49,612829.15,306414.57,183848.74,306414.57,27280.07,-16368.04,-5456.01,5456.01
ONGC,ONGC,Energy,2025,Q2,Q2 2025,171268.7,152057.92,19210.78,14408.08,674042.99,337021.49,202212.9,337021.49,27888.94,-16733.37,-5577.79,5577.79
ONGC,ONGC,Energy,2025,Q3,Q3 2025,178873.97,159610.79,19263.18,14447.39,723633.23,361816.62,217089.97,361816.62,28920.05,-17352.03,-5784.01,5784.01
ONGC,ONGC,Energy,2025,Q4,Q4 2025,189465.87,169775.6,19690.27,14767.7,764859.84,382429.92,229457.95,382429.92,30064.9,-18038.94,-6012.98,6012.98
Tata Motors,TATAMOTORS,Auto,2024,Q1,Q1 2024,102779.65,91698.13,11081.52,8311.14,385691.92,192845.96,115707.58,192845.96,16024.98,-9614.99,-3205.0,3205.0
Tata Motors,TATAMOTORS,Auto,2024,Q2,Q2 2024,100763.76,90161.46,10602.3,7951.73,409040.1,204520.05,122712.03,204520.05,16132.53,-9679.52,-3226.51,3226.51
Tata Motors,TATAMOTORS,Auto,2024,Q3,Q3 2024,103536.25,92823.93,10712.32,8034.24,400063.57,200031.78,120019.07,200031.78,16035.51,-9621.31,-3207.1,3207.1
Tata Motors,TATAMOTORS,Auto,2024,Q4,Q4 2024,106328.38,95383.92,10944.46,8208.34,410122.35,205061.17,123036.7,205061.17,16410.79,-9846.47,-3282.16,3282.16
Tata Motors,TATAMOTORS,Auto,2025,Q1,Q1 2025,114406.49,102423.74,11982.74,8987.06,430367.39,215183.69,129110.22,215183.69,17594.41,-10556.64,-3518.88,3518.88
Tata Motors,TATAMOTORS,Auto,2025,Q2,Q2 2025,118948.04,108212.6,10735.44,8051.58,494516.59,247258.29,148354.98,247258.29,17941.91,-10765.15,-3588.38,3588.38
Tata Motors,TATAMOTORS,Auto,2025,Q3,Q3 2025,125461.38,113944.88,11516.5,8637.37,526018.82,263009.41,157805.65,263009.41,19157.75,-11494.65,-3831.55,3831.55
Tata Motors,TATAMOTORS,Auto,2025,Q4,Q4 2025,129524.25,115507.06,14017.19,10512.89,567233.13,283616.57,170169.94,283616.57,21857.56,-13114.53,-4371.51,4371.51
Maruti Suzuki,MARUTI,Auto,2024,Q1,Q1 2024,35442.34,31810.83,3631.52,2723.64,135464.07,67732.04,40639.22,67732.04,5432.92,-3259.75,-1086.58,1086.58
Maruti Suzuki,MARUTI,Auto,2024,Q2,Q2 2024,35283.76,31429.75,3854.01,2890.51,143542.48,71771.24,43062.74,71771.24,5761.36,-3456.81,-1152.27,1152.27
Maruti Suzuki,MARUTI,Auto,2024,Q3,Q3 2024,36282.32,31991.14,4291.18,3218.38,145223.62,72611.81,43567.09,72611.81,6122.85,-3673.71,-1224.57,1224.57
Maruti Suzuki,MARUTI,Auto,2024,Q4,Q4 2024,38590.09,34447.31,4142.78,3107.08,175354.69,87677.34,52606.41,87677.34,6614.18,-3968.51,-1322.84,1322.84
Maruti Suzuki,MARUTI,Auto,2025,Q1,Q1 2025,40086.23,36020.35,4065.88,3049.41,151759.32,75879.66,45527.79,75879.66,6084.6,-3650.76,-1216.92,1216.92
Maruti Suzuki,MARUTI,Auto,2025,Q2,Q2 2025,41468.17,36999.34,4468.83,3351.62,171794.34,85897.17,51538.3,85897.17,6787.51,-4072.51,-1357.5,1357.5
Maruti Suzuki,MARUTI,Auto,2025,Q3,Q3 2025,42886.26,38200.01,4686.26,3514.69,164281.89,82140.94,49284.57,82140.94,6800.33,-4080.2,-1360.07,1360.07
Maruti Suzuki,MARUTI,Auto,2025,Q4,Q4 2025,41795.0,37384.17,4410.83,3308.12,174338.66,87169.33,52301.6,87169.33,6794.9,-4076.94,-1358.98,1358.98
HDFC Bank,HDFCBANK,Banking,2024,Q1,Q1 2024,71849.6,51189.78,20659.82,15494.87,289886.98,144943.49,86966.1,144943.49,21292.61,-12775.56,-4258.52,4258.52
HDFC Bank,HDFCBANK,Banking,2024,Q2,Q2 2024,74117.14,52537.08,21580.05,16185.04,298747.28,149373.64,89624.18,149373.64,22159.98,-13295.99,-4432.0,4432.0
HDFC Bank,HDFCBANK,Banking,2024,Q3,Q3 2024,75728.91,53875.79,21853.11,16389.83,308334.59,154167.3,92500.38,154167.3,22556.53,-13533.92,-4511.31,4511.31
HDFC Bank,HDFCBANK,Banking,2024,Q4,Q4 2024,78517.51,54111.87,24405.64,18304.23,330618.43,165309.22,99185.53,165309.22,24916.6,-14949.96,-4983.32,4983.32
HDFC Bank,HDFCBANK,Banking,2025,Q1,Q1 2025,76842.73,54510.56,22332.17,16749.13,315286.25,157643.13,94585.88,157643.13,23054.85,-13832.91,-4610.97,4610.97
HDFC Bank,HDFCBANK,Banking,2025,Q2,Q2 2025,79564.0,55285.01,24278.99,18209.25,379563.76,189781.88,113869.13,189781.88,25800.52,-15480.31,-5160.1,5160.1
HDFC Bank,HDFCBANK,Banking,2025,Q3,Q3 2025,82517.95,56825.52,25692.43,19269.32,345816.27,172908.13,103744.88,172908.13,26185.65,-15711.39,-5237.13,5237.13
HDFC Bank,HDFCBANK,Banking,2025,Q4,Q4 2025,85780.86,60317.04,25463.82,19097.86,356144.43,178072.22,106843.33,178072.22,26220.75,-15732.45,-5244.15,5244.15
ICICI Bank,ICICIBANK,Banking,2024,Q1,Q1 2024,49840.76,36003.38,13837.38,10378.04,194524.87,97262.44,58357.46,97262.44,14268.53,-8561.12,-2853.71,2853.71
ICICI Bank,ICICIBANK,Banking,2024,Q2,Q2 2024,50960.0,35511.65,15448.35,11586.26,184808.82,92404.41,55442.65,92404.41,15282.44,-9169.46,-3056.49,3056.49
ICICI Bank,ICICIBANK,Banking,2024,Q3,Q3 2024,53028.35,39035.61,13992.74,10494.56,207108.25,103554.13,62132.48,103554.13,14636.72,-8782.03,-2927.34,2927.34
ICICI Bank,ICICIBANK,Banking,2024,Q4,Q4 2024,55821.28,40155.44,15665.84,11749.38,211252.89,105626.44,63375.87,105626.44,15974.44,-9584.66,-3194.89,3194.89
ICICI Bank,ICICIBANK,Banking,2025,Q1,Q1 2025,55739.83,39753.87,15985.96,11989.47,214817.21,107408.6,64445.16,107408.6,16285.81,-9771.49,-3257.16,3257.16
ICICI Bank,ICICIBANK,Banking,2025,Q2,Q2 2025,57216.58,41169.87,16046.72,12035.04,221409.87,110704.93,66422.96,110704.93,16463.24,-9877.94,-3292.65,3292.65
ICICI Bank,ICICIBANK,Banking,2025,Q3,Q3 2025,62040.99,44276.22,17764.77,13323.58,223035.59,111517.8,66910.68,111517.8,17784.29,-10670.57,-3556.86,3556.86
ICICI Bank,ICICIBANK,Banking,2025,Q4,Q4 2025,63628.85,46233.86,17394.99,13046.24,265363.25,132681.63,79608.98,132681.63,18353.51,-11012.1,-3670.7,3670.7
