Company,Ticker,Sector,Year,Quarter,Period,Sales (INR Cr),Expenses (INR Cr),Operating Profit (INR Cr),Net Profit (INR Cr),Total Assets (INR Cr),Equity (INR Cr),Borrowings (INR Cr),Total Liabilities (INR Cr),CFO (INR Cr),CFI (INR Cr),CFF (INR Cr),Net Cash Flow (INR Cr)
Infosys,INFY,Tech,2025,Q3,Q3 2025,37981.17,27366.29,10614.89,7916.14,131436.98,58086.7,35514.61,65718.49,9887.7,-5493.97,-2379.02,2014.71
Infosys,INFY,Tech,2025,Q4,Q4 2025,38746.53,27783.6,10962.93,7770.33,133714.54,60574.22,49897.2,66857.27,9776.04,-4061.39,-1522.42,4192.23
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q1,Q1 2024,14601.05,11237.2,3363.85,2456.59,74123.49,37591.07,21317.67,37061.75,3568.44,-1681.78,-876.56,1010.1
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q2,Q2 2024,15229.71,11980.45,3249.26,2609.69,77409.27,31000.34,17160.48,38704.64,3770.83,-1554.46,-822.71,1393.66
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q3,Q3 2024,14985.83,11568.25,3417.58,2444.33,76862.3,31054.58,25172.15,38431.15,3597.27,-2449.81,-458.67,688.79
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q4,Q4 2024,14975.86,11619.06,3356.81,2583.17,76299.16,35202.37,24061.48,38149.58,3727.65,-2083.37,-553.07,1091.21
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q1,Q1 2025,15278.34,11685.08,3593.26,2478.7,76970.04,36645.21,20385.46,38485.02,3633.25,-2420.2,-930.02,283.03
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q2,Q2 2025,15299.72,11785.51,3514.21,2599.22,78187.45,42478.36,21399.25,39093.72,3772.03,-2246.58,-546.39,979.06
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q3,Q3 2025,15230.97,11648.05,3582.92,2653.45,78847.56,39279.39,21339.23,39423.78,3836.16,-2291.28,-819.64,725.24
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q4,Q4 2025,15384.69,12002.65,3382.03,2522.68,79595.31,35511.04,21256.53,39797.66,3716.61,-2481.26,-840.8,394.55
ITC,ITC,FMCG,2024,Q1,Q1 2024,17071.6,10156.85,6914.75,4915.63,87312.14,42021.88,18086.02,43656.07,6225.32,-3014.5,-652.81,2558.01
ITC,ITC,FMCG,2024,Q2,Q2 2024,16962.03,10256.38,6705.66,4887.58,86462.97,40954.21,21300.89,43231.48,6184.52,-4261.67,-1673.54,249.31
ITC,ITC,FMCG,2024,Q3,Q3 2024,16929.2,10574.65,6354.54,4859.24,87442.5,40285.17,16414.1,43721.25,6170.88,-4201.42,-1476.11,493.35
ITC,ITC,FMCG,2024,Q4,Q4 2024,16883.88,10264.62,6619.25,4888.84,86549.33,40495.51,24064.11,43274.66,6187.08,-3768.58,-1487.97,930.53
ITC,ITC,FMCG,2025,Q1,Q1 2025,16671.93,10317.75,6354.18,4865.55,88854.19,42272.59,39330.11,44427.09,6198.36,-3963.78,-1425.58,809.0
ITC,ITC,FMCG,2025,Q2,Q2 2025,17240.11,10395.4,6844.71,4959.79,89927.38,36992.41,21417.02,44963.69,6308.7,-3617.94,-676.22,2014.54
ITC,ITC,FMCG,2025,Q3,Q3 2025,18296.81,11493.4,6803.41,5355.42,88646.94,37799.36,26988.34,44323.47,6685.12,-2928.87,-1366.76,2389.48
ITC,ITC,FMCG,2025,Q4,Q4 2025,18309.5,11035.06,7274.45,5229.45,91146.87,41223.78,19817.15,45573.43,6596.65,-3708.57,-1500.64,1387.43
Reliance Industries,RELIANCE,Energy,2024,Q1,Q1 2024,244934.35,216218.6,28715.75,20122.17,1714491.37,703582.62,418787.11,857245.68,45839.54,-18684.43,-13409.43,13745.68
Reliance Industries,RELIANCE,Energy,2024,Q2,Q2 2024,251082.14,219940.03,31142.11,19951.18,1711256.61,729427.81,371913.45,855628.31,45620.03,-25764.73,-11081.98,8773.32
Reliance Industries,RELIANCE,Energy,2024,Q3,Q3 2024,248516.67,217563.26,30953.41,23875.75,1751902.95,655266.89,395559.18,875951.47,50154.29,-25417.78,-12617.28,12119.23
Reliance Industries,RELIANCE,Energy,2024,Q4,Q4 2024,254450.35,223122.33,31328.02,20566.61,1749957.71,503876.93,347857.68,874978.86,46815.97,-21158.97,-8743.83,16913.16
Reliance Industries,RELIANCE,Energy,2025,Q1,Q1 2025,266574.45,239631.08,26943.37,22195.53,1770311.49,924215.31,315481.71,885155.75,48750.2,-26858.48,-13225.83,8665.89
Reliance Industries,RELIANCE,Energy,2025,Q2,Q2 2025,265340.17,233500.66,31839.51,22940.66,1774286.13,804621.2,409388.7,887143.06,49554.95,-33799.9,-10659.01,5096.04
Reliance Industries,RELIANCE,Energy,2025,Q3,Q3 2025,277736.95,249131.19,28605.76,26698.13,1766823.38,781661.65,493678.47,883411.69,53200.48,-36620.93,-14953.07,1626.48
Reliance Industries,RELIANCE,Energy,2025,Q4,Q4 2025,283463.84,252524.61,30939.23,23930.48,1810032.31,761176.08,529398.44,905016.16,51080.96,-22243.18,-12226.1,16611.69
ONGC,ONGC,Energy,2024,Q1,Q1 2024,161921.5,147513.38,14408.11,10962.19,654092.59,267229.69,145202.63,327046.29,20773.58,-12987.32,-5429.53,2356.73
ONGC,ONGC,Energy,2024,Q2,Q2 2024,164282.63,149976.51,14306.12,11503.84,652616.33,311529.58,156556.37,326308.17,21293.08,-14000.71,-3956.23,3336.14
ONGC,ONGC,Energy,2024,Q3,Q3 2024,169458.9,153522.28,15936.62,11889.87,663139.26,321024.15,155497.31,331569.63,21836.96,-11284.48,-2231.03,8321.45
ONGC,ONGC,Energy,2024,Q4,Q4 2024,173099.44,158453.9,14645.54,11099.37,673484.58,275515.11,238830.67,336742.29,21201.64,-10345.62,-3513.81,7342.21
ONGC,ONGC,Energy,2025,Q1,Q1 2025,179705.3,162844.32,16860.98,11996.58,680247.62,305694.89,139544.15,340123.81,22200.29,-9263.46,-4659.97,8276.86
ONGC,ONGC,Energy,2025,Q2,Q2 2025,185905.56,170207.97,15697.59,11063.03,680306.54,320183.94,150901.36,340153.27,21267.63,-12451.46,-2556.89,6259.28
ONGC,ONGC,Energy,2025,Q3,Q3 2025,189604.96,174277.36,15327.6,11619.21,690598.82,260767.2,124050.06,345299.41,21978.2,-14150.44,-6361.58,1466.17
ONGC,ONGC,Energy,2025,Q4,Q4 2025,189724.62,173830.51,15894.11,12368.32,705761.1,347857.64,170796.36,352880.55,22954.74,-9947.65,-4557.09,8450.0
Tata Motors,TATAMOTORS,Auto,2024,Q1,Q1 2024,115667.79,93229.58,22438.21,17054.86,347104.69,165210.49,113377.22,173552.35,22261.43,-15330.37,-3895.17,3035.88
Tata Motors,TATAMOTORS,Auto,2024,Q2,Q2 2024,118999.36,96048.81,22950.55,17487.41,353544.51,160821.67,74721.46,176772.26,22790.57,-15743.52,-4663.4,2383.66
Tata Motors,TATAMOTORS,Auto,2024,Q3,Q3 2024,124238.05,98586.9,25651.15,19455.58,354260.57,174868.7,91812.68,177130.28,24769.49,-10245.5,-3868.81,10655.18
Tata Motors,TATAMOTORS,Auto,2024,Q4,Q4 2024,131542.76,106708.53,24834.22,18631.02,358339.19,123198.88,80164.87,179169.59,24006.11,-13805.84,-2773.83,7426.44
Tata Motors,TATAMOTORS,Auto,2025,Q1,Q1 2025,134415.01,105430.2,28984.81,20240.94,361900.07,146598.22,99376.3,180950.04,25669.45,-17282.68,-6789.76,1597.01
Tata Motors,TATAMOTORS,Auto,2025,Q2,Q2 2025,132882.05,104287.22,28594.83,20162.26,365775.78,133267.94,116204.63,182887.89,25648.9,-17722.73,-6884.78,1041.39
Tata Motors,TATAMOTORS,Auto,2025,Q3,Q3 2025,134570.88,106411.49,28159.38,18552.1,368776.32,166046.03,93060.35,184388.16,24083.75,-15189.53,-6959.07,1935.14
Tata Motors,TATAMOTORS,Auto,2025,Q4,Q4 2025,135378.12,107882.35,27495.77,19019.98,373966.79,170534.38,103110.85,186983.39,24629.48,-11541.2,-5771.68,7316.61
Maruti Suzuki,MARUTI,Auto,2024,Q1,Q1 2024,35720.89,30379.05,5341.84,3678.2,94288.94,49742.85,24117.58,47144.47,5092.53,-2831.7,-1377.21,883.63
Maruti Suzuki,MARUTI,Auto,2024,Q2,Q2 2024,37728.94,31906.59,5822.35,3775.31,96882.22,46723.27,30850.36,48441.11,5228.54,-3195.81,-745.55,1287.18
Maruti Suzuki,MARUTI,Auto,2024,Q3,Q3 2024,39093.54,34434.38,4659.15,3729.23,94923.98,41437.13,27136.59,47461.99,5153.09,-2855.83,-1322.96,974.31
Maruti Suzuki,MARUTI,Auto,2024,Q4,Q4 2024,40953.31,35917.44,5035.86,3800.14,97795.65,45886.04,24289.04,48897.82,5267.07,-2885.23,-873.02,1508.83
Maruti Suzuki,MARUTI,Auto,2025,Q1,Q1 2025,40499.16,34689.0,5810.16,4177.16,97871.4,41527.49,19284.51,48935.7,5645.23,-3776.87,-1099.65,768.72
Maruti Suzuki,MARUTI,Auto,2025,Q2,Q2 2025,40308.23,34592.22,5716.01,3976.71,98959.11,44002.02,19617.44,49479.55,5461.1,-2522.48,-943.97,1994.64
Maruti Suzuki,MARUTI,Auto,2025,Q3,Q3 2025,42496.74,36669.6,5827.14,4156.62,100915.48,44845.18,24113.91,50457.74,5670.35,-3639.57,-1415.61,615.16
Maruti Suzuki,MARUTI,Auto,2025,Q4,Q4 2025,42683.3,37091.41,5591.89,4265.5,99310.1,37165.86,31614.75,49655.05,5755.15,-3100.65,-1435.88,1218.63
HDFC Bank,HDFCBANK,Banking,2024,Q1,Q1 2024,117286.88,92125.05,25161.83,20173.54,3438065.55,1525140.04,2234742.61,2922355.71,71744.52,-40161.52,-10653.64,20929.36
HDFC Bank,HDFCBANK,Banking,2024,Q2,Q2 2024,117271.98,94146.27,23125.72,17986.52,3396859.64,1815136.01,2207958.77,2887330.7,68939.42,-43897.27,-13766.4,11275.74
HDFC Bank,HDFCBANK,Banking,2024,Q3,Q3 2024,119212.53,95035.39,24177.13,19577.43,3486689.4,1388182.47,2266348.11,2963685.99,71877.77,-34870.26,-12407.29,24600.22
HDFC Bank,HDFCBANK,Banking,2024,Q4,Q4 2024,123208.95,94807.57,28401.39,18433.84,3521715.18,1470202.94,2289114.87,2993457.91,71259.57,-32492.23,-11189.11,27578.23
HDFC Bank,HDFCBANK,Banking,2025,Q1,Q1 2025,125176.65,99751.98,25424.67,19772.85,3534223.58,1548175.82,2297245.33,3004090.04,72786.2,-50283.7,-19878.02,2624.48
HDFC Bank,HDFCBANK,Banking,2025,Q2,Q2 2025,125610.34,98104.97,27505.36,19986.09,3535101.28,1608353.06,2297815.83,3004836.09,73012.61,-41725.53,-11389.66,19897.42
HDFC Bank,HDFCBANK,Banking,2025,Q3,Q3 2025,125829.84,98508.94,27320.91,19225.66,3538952.05,1304538.69,2300318.83,3008109.24,72309.95,-31415.13,-16061.77,24833.04
HDFC Bank,HDFCBANK,Banking,2025,Q4,Q4 2025,129324.37,104131.39,25192.98,20210.41,3593943.23,1500141.36,2336063.1,3054851.75,74119.56,-37132.51,-9404.51,27582.54
ICICI Bank,ICICIBANK,Banking,2024,Q1,Q1 2024,59493.86,45632.3,13861.56,10770.65,2274016.74,1083546.71,1478110.88,1932914.23,44880.9,-24301.79,-8184.85,12394.26
ICICI Bank,ICICIBANK,Banking,2024,Q2,Q2 2024,61072.91,46615.13,14457.78,10914.66,2308969.42,1049032.9,1500830.13,1962624.01,45549.2,-26069.72,-12223.85,7255.64
ICICI Bank,ICICIBANK,Banking,2024,Q3,Q3 2024,62401.37,47759.42,14641.96,10884.14,2335852.18,1097202.58,1518303.92,1985474.36,45921.92,-27532.91,-9396.23,8992.79
ICICI Bank,ICICIBANK,Banking,2024,Q4,Q4 2024,64424.58,49252.59,15171.99,11781.04,2359332.69,821269.02,1533566.25,2005432.79,47171.03,-25415.94,-7560.36,14194.73
ICICI Bank,ICICIBANK,Banking,2025,Q1,Q1 2025,65414.68,48699.61,16715.07,11676.14,2386759.12,1173021.17,1551393.42,2028745.25,47477.52,-31902.13,-10675.21,4900.19
ICICI Bank,ICICIBANK,Banking,2025,Q2,Q2 2025,64461.48,48333.35,16128.12,11509.72,2404970.8,1158327.95,1563231.02,2044225.18,47584.29,-31794.29,-12263.4,3526.6
ICICI Bank,ICICIBANK,Banking,2025,Q3,Q3 2025,64836.18,49906.88,14929.3,11736.07,2417128.68,1096357.14,1571133.64,2054559.37,47993.0,-30175.01,-13215.02,4602.97
ICICI Bank,ICICIBANK,Banking,2025,Q4,Q4 2025,67154.12,51462.88,15691.24,11786.23,2436912.62,1042475.49,1583993.21,2071375.73,48339.92,-22660.57,-11816.72,13862.63
