,,,,,,,,,,,,,,,,,,,,,,,
,Macro-economic Indicators - Monthly,,,,,,,,,,,,,,,,,,,,,,
,Oct-2025,197.30,103.74,151.10,155.10,136.40,136.50,"479,629.50",201.60,"-2,442.68",713.12,"3,155.80","3,420.30",977.62,"34,403.01","2,206.00","34,111.49","76,727.75","-42,616.26","8,930,903.05","27,089,050.78","91,110.00",88.72
,Sep-2025,197.00,103.74,153.70,155.00,136.23,136.42,"488,262.80",202.00,"-2,366.67","2,349.77","4,716.44",-621.31,"-2,987.98","33,499.69","2,799.00","36,134.09","69,094.98","-32,960.89","8,612,884.99","27,879,360.42","87,382.56",88.79
,Aug-2025,197.00,103.74,151.80,155.20,136.34,136.60,"543,870.10",202.80,-201.32,"1,949.26","2,150.58","-2,596.10","-2,797.42","33,429.72","3,267.00","34,770.20","61,975.70","-27,205.49","8,108,083.88","23,939,275.03","81,692.05",87.85
,Jul-2025,196.10,103.35,156.20,154.40,135.31,135.66,"547,229.30",201.60,"4,202.93","6,897.45","2,694.52","-2,529.53","1,673.41","33,581.06","3,321.00","37,017.65","64,885.24","-27,867.59","8,397,468.57","26,653,867.30","96,769.05",87.55
,Jun-2025,194.20,102.51,153.30,153.70,134.08,134.37,"500,000.60",198.10,"2,288.94","5,340.43","3,051.49","2,435.17","4,724.11","33,583.38","3,483.00","34,978.85","54,076.29","-19,097.44","7,957,699.95","26,419,883.54","82,206.51",85.54
,May-2025,193.00,101.90,157.60,153.70,"1,438.09","1,452.42","553,874.25",196.10,881.76,"3,585.60","2,703.84","1,301.76","2,183.52","33,251.69","2,739.00","38,303.59","60,855.30","-22,551.71","8,196,787.06","24,614,318.37","64,772.03",85.48
,Apr-2025,192.60,101.58,151.80,154.20,"1,439.80","1,453.08","545,586.95",196.00,"1,592.18","4,987.53","3,395.35","-2,128.68",-536.50,"33,080.99","2,917.00","38,283.77","65,381.30","-27,097.53","8,213,453.56","24,464,163.81","53,870.00",85.05
,Mar-2025,192.00,101.39,166.30,154.80,"1,438.77","1,452.07","442,892.70",196.20,-501.87,"3,387.57","3,889.44","4,042.53","3,540.66","32,809.42","11,043.00","42,047.60","63,740.27","-21,692.67","9,375,535.44","30,117,631.05","224,897.11",85.58
,Feb-2025,192.50,101.32,151.10,154.90,"1,442.15","1,454.35","465,926.95",197.60,-703.13,"3,066.43","3,769.56","-3,971.68","-4,674.81","32,492.04","2,824.00","36,910.92","51,328.93","-14,418.01","7,452,320.64","23,010,857.06","122,593.06",87.40
,Jan-2025,193.40,101.67,161.60,155.00,"1,450.90","1,462.92","456,483.15",200.90,"1,571.38","3,598.50","2,027.13","-5,929.48","-4,358.11","32,754.06","3,998.00","36,338.51","59,767.98","-23,429.47","8,049,363.21","24,941,970.20","111,673.15",86.64
,Dec-2024,195.40,102.90,158.00,155.70,"1,457.07","1,467.88","435,779.45",205.90,-188.93,"1,914.65","2,103.58","1,811.78","1,622.85","32,198.08","9,543.00","37,804.05","58,433.04","-20,628.99","7,969,354.32","26,545,062.15","88,662.00",85.62
,Nov-2024,196.50,103.50,148.10,156.40,"1,458.30","1,468.90","445,122.05",208.40,"-2,492.76",-173.80,"2,318.96","-2,256.94","-4,749.70","32,040.00","2,833.00","31,942.52","63,928.51","-31,985.99","7,225,196.38","21,514,229.68","55,006.00",84.50
,Oct-2024,196.80,103.70,150.30,156.70,"1,453.30","1,464.00","445,104.90",209.40,-128.51,"1,763.67","1,892.17","-10,926.87","-11,055.38","31,871.04","5,499.00","38,983.08","65,069.52","-26,086.44","8,441,196.13","24,888,114.15","84,842.00",84.09
,Sep-2024,194.20,102.30,146.90,154.70,"1,440.33","1,452.00","397,590.45",204.80,"-1,175.37","1,124.45","2,299.81","9,712.45","8,537.09","31,080.27","4,841.00","34,079.18","58,719.63","-24,640.45","7,342,641.26","24,585,736.93","82,243.00",83.79
,Aug-2024,193.00,101.70,145.80,154.40,"1,431.86","1,443.90","471,121.50",202.70,"1,042.41","3,510.78","2,468.37","4,297.80","5,340.21","29,204.06","5,909.00","32,890.09","68,509.80","-35,619.71","7,382,993.79","22,724,581.95","89,190.00",83.87
,Jul-2024,193.00,101.70,149.80,155.30,"1,424.27","1,436.30","458,911.05",203.30,"-2,687.99",331.41,"3,019.40","5,839.80","3,151.81","28,572.43","3,581.00","32,679.53","59,473.54","-26,794.01","7,500,984.30","22,860,979.26","68,382.88",83.74
,Jun-2024,190.20,100.20,151.00,154.00,"1,412.20","1,424.09","422,447.45",198.40,"2,241.65","3,557.37","1,315.72","5,448.77","7,690.42","27,414.08","2,816.00","35,445.83","55,997.07","-20,551.24","7,015,197.91","22,499,058.11","51,821.00",83.45
,May-2024,187.70,98.90,154.70,153.50,"1,269.00","1,281.00","403,970.00",193.20,"2,203.11","3,996.02","1,792.91","-1,820.65",382.46,"26,852.83","4,012.00","38,780.80","61,675.19","-22,894.39","7,282,789.47","21,858,217.78","57,500.00",83.30
,Apr-2024,186.70,98.30,148.00,152.90,"1,263.00","1,275.00","411,533.60",191.90,"1,778.90","3,052.49","1,273.59","-2,683.38",-904.48,"26,216.43","4,285.00","39,802.47","54,488.05","-14,685.57","6,988,197.81","20,753,664.85","36,500.00",83.52
,Mar-2024,185.80,97.90,160.00,151.40,"1,259.00","1,270.00","388,559.20",190.70,"-1,360.61","2,301.50","3,662.11","7,785.30","6,424.69","25,733.33","7,734.00","41,692.74","56,638.66","-14,945.91","8,233,757.18","25,673,377.93","192,763.49",83.37
,Feb-2024,185.80,97.90,147.10,151.20,"1,258.00","1,269.00","408,048.25",190.30,-22.94,"1,207.73","1,230.67","3,745.61","3,722.67","24,901.66","2,296.00","41,405.62","59,824.06","-18,418.44","7,009,371.33","21,021,038.47","106,259.00",82.92
,Jan-2024,185.50,97.70,153.60,151.20,"1,258.00","1,268.00","377,707.20",190.10,"3,682.28","4,553.57",871.29,-139.10,"3,543.18","23,517.12","3,090.00","37,323.80","53,706.86","-16,383.06","6,920,898.55","21,028,870.68","104,021.74",83.08
,Dec-2023,185.70,97.80,152.30,151.80,"1,257.00","1,267.00","364,181.25",191.20,-654.77,"1,313.22","1,968.00","9,555.33","8,900.56","22,815.31","5,143.00","38,391.03","56,914.62","-18,523.59","6,902,094.70","22,197,900.82","67,683.01",83.12
,Nov-2023,186.30,98.10,141.10,153.10,"1,253.00","1,262.00","394,967.95",192.60,804.33,"1,775.66",971.33,"4,197.96","5,002.29","21,859.71","1,146.00","33,745.88","54,755.73","-21,009.85","6,608,910.33","19,641,486.98","110,925.51",83.35
,Oct-2023,185.30,97.60,144.90,152.50,"1,241.00","1,251.00","413,685.30",190.90,"3,806.91","5,277.11","1,470.20","-1,741.13","2,065.78","21,427.21",742.00,"33,433.54","63,038.11","-29,604.57","6,646,440.30","19,526,386.61","67,383.52",83.27
,Sep-2023,184.10,97.00,142.30,151.80,"1,226.00","1,237.00","412,234.35",189.00,630.95,"1,920.24","1,289.29","-2,226.19","-1,595.23","21,283.78","2,764.00","34,407.98","54,225.19","-19,817.21","6,266,878.72","20,237,041.12","70,012.01",83.06
,Aug-2023,186.20,98.10,145.80,152.50,"1,224.00","1,234.00","450,064.05",192.50,-539.59,739.06,"1,278.65","2,880.22","2,340.63","20,915.04","2,768.00","38,284.78","62,035.81","-23,751.03","6,327,648.53","19,476,332.71","62,280.00",82.68
,Jul-2023,186.30,98.10,142.70,152.10,"1,215.00","1,226.00","444,567.60",193.50,-924.85,377.47,"1,302.33","4,292.49","3,367.64","20,808.03","2,559.00","34,489.89","53,145.93","-18,656.04","6,190,842.24","18,728,093.79","58,030.00",82.25
,Jun-2023,181.00,95.30,143.90,148.90,"1,196.00","1,207.00","433,212.15",183.10,"1,305.48","1,967.82",662.33,"7,649.74","8,955.22","20,484.67","7,959.00","34,324.89","53,203.06","-18,878.18","6,070,860.95","19,829,171.94","67,900.00",82.04
,May-2023,179.10,94.30,145.60,149.40,"1,186.00","1,197.00","433,543.35",179.10,665.61,"1,484.60",818.99,"5,986.04","6,651.65","19,887.24","7,648.00","34,953.43","57,452.92","-22,499.48","6,167,821.57","18,422,636.73","77,500.01",82.68
,Apr-2023,178.10,93.80,140.70,151.10,"1,180.00","1,192.00","421,736.55",177.90,"2,758.78","3,911.83","1,153.05","2,095.04","4,853.82","19,687.33","5,360.00","34,618.45","49,051.01","-14,432.56","5,803,936.48","17,041,460.88","22,300.00",81.78
,Mar-2023,177.20,93.30,151.70,151.00,"1,175.00","1,186.00","353,688.25",177.00,"1,274.04","2,392.47","1,118.43","1,559.64","2,833.69","19,363.30","3,840.00","41,957.82","60,920.80","-18,962.98","6,954,269.75","22,370,990.86","171,895.67",82.22
,Feb-2023,176.80,93.10,139.30,150.90,"1,171.00","1,182.00","364,530.10",176.60,"1,716.48","2,860.37","1,143.89",-331.51,"1,384.98","18,402.31",644.00,"37,013.70","53,581.50","-16,567.80","5,519,200.04","17,007,088.60","77,192.00",82.68
,Jan-2023,176.50,93.00,147.40,150.70,"1,170.00","1,181.00","363,889.15",176.70,"3,364.25","4,066.34",702.09,"-2,892.32",471.92,"18,206.71","1,777.00","35,799.38","52,826.38","-17,027.00","5,630,278.67","17,606,106.07","51,846.00",81.74
,Dec-2022,175.70,92.50,145.90,150.50,"1,167.00","1,179.00","359,673.30",175.90,"1,870.30","3,575.14","1,704.84",-688.02,"1,182.27","17,558.44","2,768.00","38,084.56","61,218.76","-23,134.20","5,872,457.43","18,988,611.14","53,461.85",82.79
,Nov-2022,176.50,93.00,137.70,152.50,"1,167.00","1,178.00","362,307.65",178.30,"-1,007.85","1,575.16","2,583.01","4,736.11","3,728.26","16,719.23","5,203.00","34,887.10","56,951.41","-22,064.31","5,416,306.26","17,122,666.38","57,199.00",81.60
,Oct-2022,176.70,93.10,129.50,152.90,"1,159.00","1,170.00","373,332.25",179.60,"1,167.66","2,176.93","1,009.27",562.46,"1,730.12","16,104.43","1,430.00","31,601.79","57,910.50","-26,308.71","5,433,995.24","16,435,635.01","70,450.00",82.39
,Sep-2022,175.30,92.30,133.80,151.90,"1,149.00","1,161.00","400,866.35",177.80,"1,567.37","2,565.66",998.29,"-1,175.04",392.33,"16,008.40","2,709.00","35,390.80","63,372.11","-27,981.31","5,525,434.84","18,724,499.31","53,591.02",81.55
,Aug-2022,174.30,91.80,131.50,153.20,"1,140.00","1,152.00","410,076.80",176.30,748.31,"1,968.49","1,220.18","7,336.85","8,085.16","16,017.67","1,875.00","37,017.74","61,879.15","-24,861.41","5,138,432.29","16,256,511.76","59,526.00",79.72
,Jul-2022,173.40,91.30,134.40,154.00,"1,131.00","1,143.00","374,226.45",175.00,"3,893.28","4,562.89",669.61,370.06,"4,263.34","15,877.96","2,616.00","38,335.80","63,771.39","-25,435.59","5,152,880.74","16,124,939.59","52,990.00",79.42
,Jun-2022,172.60,90.90,138.30,155.40,"1,125.00","1,137.00","372,542.35",174.90,"2,755.21","3,869.39","1,114.18","-6,062.49","-3,307.28","15,680.64","1,889.00","42,279.52","64,352.76","-22,073.24","5,186,042.58","16,948,911.26","65,450.00",78.94
,May-2022,171.70,90.40,137.80,155.00,"1,119.00","1,131.00","384,544.00",173.30,"5,311.40","6,042.65",731.25,"-4,682.84",628.55,"15,910.40","1,516.00","39,003.62","61,126.44","-22,122.82","5,073,160.51","15,662,545.54","35,290.00",77.66
,Apr-2022,170.10,89.60,134.50,152.30,"1,108.00","1,119.00","364,999.65",170.80,"5,325.85","6,350.47","1,024.62","-3,884.76","1,441.08","16,134.74",362.00,"39,698.17","58,057.70","-18,359.53","5,010,048.42","15,437,383.30","9,500.00",76.42
,Mar-2022,167.70,88.30,148.80,148.90,"1,098.00","1,109.00","352,292.55",168.40,"3,051.98","5,145.27","2,093.29","-4,992.89","-1,940.90","16,918.12","5,042.00","44,573.71","63,090.56","-18,516.85","6,052,220.95","19,816,840.72","103,665.00",75.81
,Feb-2022,166.10,87.50,131.40,145.30,"1,095.00","1,106.00","364,645.30",166.20,"4,657.32","5,168.92",511.60,"-5,788.36","-1,131.05","17,292.98","2,328.00","37,153.99","55,898.39","-18,744.40","4,678,584.76","14,387,881.72","52,118.00",75.49
,Jan-2022,165.70,87.30,139.30,143.80,"1,095.00","1,105.00","395,881.00",166.40,"6,067.20","6,939.29",872.09,"-4,433.91","1,633.29","18,089.38","7,979.00","35,233.01","52,566.77","-17,333.76","4,628,493.06","14,519,881.26","79,535.43",74.97
,Dec-2021,166.20,87.50,138.80,143.30,"1,097.00","1,106.00","350,068.65",168.20,"1,350.52","2,851.02","1,500.51","-3,735.72","-2,385.21","18,154.37","5,549.00","39,270.20","60,329.77","-21,059.57","4,994,789.73","17,320,825.36","60,062.00",74.30
,Nov-2021,166.70,87.80,128.00,143.70,"1,092.00","1,101.00","388,363.05",169.70,"2,192.25","3,329.61","1,137.37",-152.47,"2,039.78","18,672.91","2,399.00","31,795.05","53,025.07","-21,230.02","4,356,440.55","14,804,995.55","37,825.00",75.09
,Oct-2021,165.50,87.20,135.00,140.70,"1,081.00","1,090.00","379,278.30",167.70,"1,015.88","2,659.21","1,643.33","-1,953.39",-937.51,"18,805.15","1,339.00","35,727.73","53,638.25","-17,910.52","4,620,153.27","14,171,917.31","59,449.23",74.79
,Sep-2021,163.20,86.00,129.50,137.40,"1,067.00","1,076.00","370,982.10",164.00,"2,030.58","4,276.38","2,245.79","2,588.85","4,619.43","18,950.00","4,023.00","33,814.61","56,286.42","-22,471.81","4,314,396.07","14,817,559.33","70,821.73",74.26
,Aug-2021,162.90,85.80,132.40,136.20,"1,066.00","1,074.00","391,504.85",163.90,"5,114.58","6,003.55",888.97,"2,906.37","8,020.95","19,331.06","2,847.00","33,380.73","45,092.86","-11,712.13","4,061,924.01","13,692,317.12","44,300.00",73.15
,Jul-2021,162.50,85.60,131.50,135.00,"1,061.00","1,070.00","414,981.65",164.00,"1,552.10","2,619.84","1,067.73","-1,617.79",-65.69,"19,598.51","3,434.00","35,512.82","46,146.97","-10,634.16","4,011,552.88","14,199,610.60","49,300.00",74.39
,Jun-2021,161.30,85.00,122.80,133.70,"1,057.00","1,065.00","376,117.85",162.60,354.15,"2,555.24","2,201.09","1,251.70","1,605.85","19,698.70","1,485.00","32,493.00","42,098.26","-9,605.27","3,726,363.02","13,445,922.51","84,850.00",74.35
,May-2021,160.40,84.50,115.10,132.90,"1,049.00","1,057.00","388,707.25",160.70,"8,801.57","10,352.18","1,550.61",966.46,"9,768.03","19,876.30",738.00,"32,298.98","38,834.64","-6,535.66","3,236,674.12","11,261,479.56","50,550.00",72.52
,Apr-2021,157.80,83.10,126.10,132.00,"1,041.00","1,049.00","374,846.75",158.00,"2,398.37","4,330.01","1,931.64","-1,816.09",582.28,"20,027.35","2,723.00","30,750.58","46,044.08","-15,293.50","3,712,456.60","11,962,001.88","9,150.00",74.02
,Mar-2021,156.80,82.60,145.60,129.90,"1,035.00","1,043.00","364,374.30",156.70,755.27,"2,066.52","1,311.25",-791.60,-36.33,"20,473.08","9,233.00","35,256.60","48,898.86","-13,642.26","5,023,434.16","17,283,617.40","108,412.00",73.50
,Feb-2021,156.60,82.50,129.90,128.10,"1,037.00","1,044.00","390,852.95",156.90,441.62,"1,781.90","1,340.28","1,853.40","2,295.02","22,093.46","2,577.00","27,633.25","40,748.65","-13,115.40","3,672,399.65","12,175,715.93","80,270.00",73.04
,Jan-2021,156.30,82.30,136.60,126.50,"1,038.00","1,045.00","410,651.90",157.60,"1,481.65","1,901.82",420.18,"6,218.48","7,700.13","21,505.96","3,744.00","27,538.28","42,030.07","-14,491.79","3,768,662.14","12,387,617.73","56,300.00",72.95
,Dec-2020,157.30,82.80,137.40,125.40,"1,047.00","1,053.00","365,185.05",161.00,"6,239.35","7,130.10",890.75,"8,551.18","14,790.53","22,127.57","2,994.00","27,216.29","42,934.54","-15,718.25","4,240,096.15","14,281,201.17","65,326.47",73.05
,Nov-2020,158.90,83.70,126.70,125.10,"1,060.00","1,065.00","373,146.10",165.40,"7,169.64","8,023.82",854.19,"10,929.15","18,098.78","21,925.48","2,045.00","23,619.95","33,812.29","-10,192.34","3,706,350.52","11,199,705.56","64,824.33",73.80
,Oct-2020,158.40,83.40,129.60,123.60,"1,052.00","1,057.00","380,112.20",164.70,"3,971.04","4,839.94",868.91,"1,736.89","5,707.93","21,958.27","2,033.00","24,920.41","34,073.84","-9,153.43","3,748,264.77","11,720,220.13","74,710.00",73.97
,Sep-2020,156.40,82.40,124.10,122.90,"1,037.00","1,043.00","362,310.10",161.40,"2,593.58","4,117.64","1,524.07","1,177.95","3,771.53","22,291.43","5,223.00","27,559.04","30,518.35","-2,959.31","3,504,399.15","12,508,222.09","84,525.00",73.80
,Aug-2020,154.70,81.50,117.20,122.00,"1,026.00","1,033.00","372,600.80",158.00,"18,247.37","18,698.79",451.42,"5,347.24","23,594.61","22,468.26","1,751.00","22,829.29","31,034.01","-8,204.72","3,170,640.21","10,037,558.28","56,400.00",73.60
,Jul-2020,153.90,81.10,117.90,121.00,"1,021.00","1,028.00","374,817.20",157.00,"3,583.53","4,261.17",677.65,472.46,"4,055.99","22,466.93","2,148.00","23,782.41","29,116.06","-5,333.66","3,201,239.35","11,102,446.67","60,400.00",74.77
,Jun-2020,151.80,80.00,107.90,119.30,"1,018.00","1,024.00","391,482.30",154.00,-914.40,64.18,978.58,"3,174.45","2,260.05","22,458.12","1,022.00","22,033.15","21,323.55",709.60,"3,076,817.48","11,327,129.14","48,471.20",75.53
,May-2020,150.90,79.50,90.20,117.50,"1,019.00","1,025.00","425,817.00",152.70,200.05,754.82,554.77,-560.88,-360.83,"22,875.76","1,491.00","19,246.54","22,859.87","-3,613.32","2,412,263.75","9,193,905.76","48,450.00",75.64
,Apr-2020,151.40,79.70,54.00,119.20,"1,014.00","1,019.00","417,227.05",154.00,186.42,"1,286.45","1,100.04","-1,971.91","-1,785.49","23,112.21",996.00,"10,173.26","17,085.78","-6,912.51","1,961,179.85","8,241,148.29","60,055.00",75.12
,Mar-2020,148.60,78.30,117.20,120.40,"1,007.00","1,013.00","344,526.95",148.90,"3,974.17","4,936.72",962.55,"-14,635.16","-10,660.99","24,244.06","7,437.00","21,490.67","31,470.92","-9,980.25","3,542,847.70","15,024,753.78","117,951.74",75.39
,Feb-2020,149.10,78.50,134.20,122.20,"1,010.00","1,016.00","400,200.25",150.50,"2,737.10","4,019.90","1,282.80","-1,148.26","1,588.84","24,241.58","4,175.00","27,742.76","37,904.47","-10,161.71","3,248,090.15","11,578,728.60","66,257.32",72.19
,Jan-2020,150.20,79.10,-,123.40,"1,016.00","1,021.00","421,988.85",153.50,"5,251.88","6,228.83",976.95,"2,038.58","7,290.46","24,407.90","8,401.00","25,853.30","41,149.50","-15,296.19","3,318,973.86","12,537,395.69","75,193.00",71.51
,Dec-2019,150.40,79.20,134.50,123.00,"1,014.00","1,019.00","414,906.30",155.00,"4,326.41","5,511.98","1,185.56",-611.42,"3,715.00","24,017.92","2,097.00","27,096.05","39,594.10","-12,498.05","3,288,435.85","12,958,789.30","47,477.47",71.27
,Nov-2019,148.60,78.30,128.80,122.30,"1,000.00","1,006.00","458,415.60",151.90,"2,770.46","3,657.49",887.03,"5,860.45","8,630.91","24,325.73","2,116.00","25,744.49","38,523.24","-12,778.75","3,057,665.39","11,092,669.12","46,020.85",71.73
,Oct-2019,147.20,77.50,124.00,122.00,987.00,993.00,"462,308.75",149.60,"2,646.20","4,064.01","1,417.81","2,580.08","5,226.27","24,710.10","3,415.00","26,212.39","37,986.37","-11,773.98",-,-,"60,160.76",70.81
,Sep-2019,145.80,76.80,122.90,121.30,976.00,983.00,"459,742.10",147.00,"1,981.31","2,949.69",968.38,"2,382.54","4,363.85","24,499.88","4,889.00","26,013.73","37,694.82","-11,681.09",-,-,"48,763.00",70.69
,Aug-2019,145.00,76.40,126.20,121.50,965.00,972.00,"497,176.75",145.90,"1,850.74","2,762.01",911.27,-363.14,"1,487.60","23,895.34","3,317.00","25,987.94","39,852.08","-13,864.15",-,-,"44,553.00",71.76
,Jul-2019,144.20,76.00,131.80,121.30,958.00,965.00,"509,412.80",144.70,"3,482.41","4,681.37","1,198.96",457.04,"3,939.45","23,974.87","4,981.00","26,231.64","40,430.65","-14,199.01",-,-,"50,606.40",68.86
,Jun-2019,-,-,129.30,121.50,950.00,957.00,"503,943.30",142.70,"6,788.60","7,570.45",781.85,"1,895.73","8,684.33","24,363.94","5,399.00","25,027.35","41,032.49","-16,005.15",-,-,"29,851.00",68.92
,May-2019,142.00,74.80,135.40,121.60,940.00,948.00,"551,983.50",140.90,"2,818.36","4,083.55","1,265.20","1,835.93","4,654.29","24,318.28","3,548.00","29,849.71","46,683.35","-16,833.65",-,-,"22,100.00",69.81
,Apr-2019,141.20,74.40,126.50,121.10,932.00,939.00,"542,885.80",139.40,"4,385.56","5,540.16","1,154.61","1,111.03","5,496.59","24,579.71","3,158.00","26,037.65","42,387.26","-16,349.60",-,-,"29,572.00",69.84
,Mar-2019,140.40,73.90,144.10,119.90,924.00,932.00,"483,084.45",138.10,789.18,"3,239.58","2,450.40","8,622.96","9,412.13","23,170.18","12,725.00","32,725.19","43,690.44","-10,965.26",-,-,"62,298.26",69.17
,Feb-2019,139.90,73.70,127.60,119.50,917.00,925.00,"520,811.05",137.50,"1,949.20","2,503.48",554.28,"1,174.65","3,123.85","21,623.30","2,812.00","26,862.08","36,591.13","-9,729.05",-,-,"67,735.00",71.20
,Jan-2019,139.60,73.50,134.40,119.20,915.00,923.00,"528,741.20",137.40,"3,681.52","4,046.86",365.34,-361.72,"3,319.79","21,413.04","2,417.00","26,407.36","41,455.21","-15,047.85",-,-,"61,131.15",71.03
,Dec-2018,140.10,73.80,133.90,119.70,913.00,921.00,"498,728.65",138.20,"3,112.49","4,236.52","1,124.02","-1,343.96","1,768.53","20,839.86","3,806.00","27,858.29","42,351.02","-14,492.73",-,-,"43,896.48",69.79
,Nov-2018,140.80,74.20,126.10,121.60,914.00,921.00,"560,613.81",139.70,"1,076.61","1,584.78",508.17,"2,990.90","4,067.51","20,433.31","2,066.00","26,071.56","43,655.19","-17,583.62",-,-,"39,183.65",69.66
,Oct-2018,140.70,74.10,132.80,122.00,913.00,920.00,"587,688.66",139.90,"3,120.15","4,544.21","1,424.05","-3,757.58",-637.43,"22,163.01","1,411.00","26,673.95","44,677.89","-18,003.94",-,-,"46,576.55",73.99
,Sep-2018,140.20,73.80,128.80,120.90,910.00,917.00,"556,198.16",140.40,"3,614.89","4,671.12","1,056.23","-1,798.85","1,816.04","22,421.83","1,706.00","27,865.97","42,819.59","-14,953.62",-,-,"25,437.95",72.55
,Aug-2018,140.40,73.90,128.00,120.10,907.00,915.00,"632,296.01",141.70,"1,986.94","2,543.98",557.04,"-2,830.51",-843.57,"22,622.57","4,827.00","27,808.32","45,731.11","-17,922.79",-,-,"28,050.50",70.93
,Jul-2018,139.80,73.60,125.70,119.90,902.00,910.00,"639,529.66",141.40,"1,808.50","2,805.67",997.17,"4,831.49","6,639.99","22,777.03","2,175.00","25,754.24","44,388.07","-18,633.84",-,-,"27,426.25",68.61
,Jun-2018,138.50,72.90,127.70,119.10,894.00,902.00,"491,833.06",139.40,"1,644.54","3,015.49","1,370.95","-3,881.72","-2,237.18","22,568.22","2,714.00","27,158.08","44,806.59","-17,648.51",-,-,"19,979.60",68.58
,May-2018,137.80,72.60,129.60,118.30,891.00,899.00,"466,886.96",138.10,"3,667.54","4,637.50",969.95,"-1,373.35","2,294.19","22,245.87","1,347.00","28,944.97","43,917.27","-14,972.30",-,-,"24,880.00",67.45
,Apr-2018,137.10,72.20,122.60,117.30,888.00,896.00,"447,691.41",137.50,"4,260.41","5,473.06","1,212.65","-2,890.27","1,370.15","21,997.65","3,917.00","25,949.46","39,966.95","-14,017.49",-,-,"31,728.10",66.78
,Mar-2018,136.50,71.90,140.30,116.30,887.00,894.00,"372,577.41",137.20,"2,051.24","3,213.56","1,162.31","-1,390.18",661.06,"22,025.60","5,075.00","29,167.03","42,801.16","-13,634.13",-,-,"419,099.52",65.04
,Feb-2018,136.40,71.80,127.40,116.10,889.00,896.00,"455,047.21",137.60,"2,667.79","3,077.45",409.65,286.87,"2,954.67","21,844.01","3,100.00","26,030.72","37,871.27","-11,840.55",-,-,-,65.10
,Jan-2018,136.90,72.10,132.30,116.00,895.00,901.00,"457,498.66",139.20,"1,688.55","2,314.12",625.57,"3,379.21","5,067.75","22,160.53",540.00,"25,407.74","40,701.21","-15,293.47",-,-,-,63.69
,Dec-2017,137.20,72.30,130.60,115.70,900.00,906.00,"409,053.31",140.50,"2,735.67","3,284.86",549.19,-120.22,"2,615.45","21,807.73","1,305.00","27,832.56","42,030.79","-14,198.23",-,-,-,63.93
,Nov-2017,137.60,72.50,125.80,116.40,905.00,910.00,"473,679.80",142.10,956.14,"1,552.53",596.39,"1,590.83","2,546.97","21,169.81","3,039.00","26,292.66","41,390.19","-15,097.53",-,-,-,64.43
