Company,Ticker,Sector,Year,Quarter,Period,quarter_num,time_index,source,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow,is_synthetic_company,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate,macro_source,macro_is_synthetic
ITC,ITC,FMCG,2025,Q1,Q1 2025,1,8100,mock,20111.54,13173.41,6938.13,5203.6,84128.2,42064.1,25238.46,42064.1,6886.16,-4131.7,-1377.23,1377.23,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
ITC,ITC,FMCG,2025,Q2,Q2 2025,2,8101,mock,20712.12,13572.61,7139.52,5354.64,84974.67,42487.33,25492.4,42487.33,7054.13,-4232.48,-1410.83,1410.83,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
ITC,ITC,FMCG,2025,Q3,Q3 2025,3,8102,mock,21186.69,13566.12,7620.56,5715.42,81771.91,40885.96,24531.57,40885.96,7350.86,-4410.52,-1470.17,1470.17,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
ITC,ITC,FMCG,2025,Q4,Q4 2025,4,8103,mock,21402.16,13995.32,7406.84,5555.13,79344.16,39672.08,23803.25,39672.08,7142.01,-4285.21,-1428.4,1428.4,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Infosys,INFY,Tech,2024,Q1,Q1 2024,1,8096,mock,40146.74,31269.93,8876.81,6657.61,151345.23,75672.62,45403.57,75672.62,9684.52,-5810.71,-1936.9,1936.9,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Infosys,INFY,Tech,2024,Q2,Q2 2024,2,8097,mock,41402.17,32542.37,8859.8,6644.85,163193.32,81596.66,48958.0,81596.66,9908.72,-5945.23,-1981.74,1981.74,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Infosys,INFY,Tech,2024,Q3,Q3 2024,3,8098,mock,41482.85,31588.25,9894.61,7420.95,165819.43,82909.71,49745.83,82909.71,10737.34,-6442.41,-2147.47,2147.47,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Infosys,INFY,Tech,2024,Q4,Q4 2024,4,8099,mock,40996.2,31639.83,9356.38,7017.28,153974.82,76987.41,46192.45,76987.41,10096.78,-6058.07,-2019.36,2019.36,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Infosys,INFY,Tech,2025,Q1,Q1 2025,1,8100,mock,42073.01,33641.44,8431.57,6323.68,157115.87,78557.93,47134.76,78557.93,9465.99,-5679.6,-1893.2,1893.2,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Infosys,INFY,Tech,2025,Q2,Q2 2025,2,8101,mock,43162.94,33348.35,9814.59,7360.94,174131.12,87065.56,52239.34,87065.56,10843.57,-6506.14,-2168.71,2168.71,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
Infosys,INFY,Tech,2025,Q3,Q3 2025,3,8102,mock,43876.45,34355.74,9520.71,7140.53,162531.34,81265.67,48759.4,81265.67,10391.16,-6234.69,-2078.23,2078.23,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Infosys,INFY,Tech,2025,Q4,Q4 2025,4,8103,mock,43806.45,34370.82,9435.63,7076.72,184487.56,92243.78,55346.27,92243.78,10766.47,-6459.88,-2153.29,2153.29,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2024,Q1,Q1 2024,1,8096,mock,35442.34,31810.83,3631.52,2723.64,135464.07,67732.04,40639.22,67732.04,5432.92,-3259.75,-1086.58,1086.58,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2024,Q2,Q2 2024,2,8097,mock,35283.76,31429.75,3854.01,2890.51,143542.48,71771.24,43062.74,71771.24,5761.36,-3456.81,-1152.27,1152.27,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2024,Q3,Q3 2024,3,8098,mock,36282.32,31991.14,4291.18,3218.38,145223.62,72611.81,43567.09,72611.81,6122.85,-3673.71,-1224.57,1224.57,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2024,Q4,Q4 2024,4,8099,mock,38590.09,34447.31,4142.78,3107.08,175354.69,87677.34,52606.41,87677.34,6614.18,-3968.51,-1322.84,1322.84,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2025,Q1,Q1 2025,1,8100,mock,40086.23,36020.35,4065.88,3049.41,151759.32,75879.66,45527.79,75879.66,6084.6,-3650.76,-1216.92,1216.92,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2025,Q2,Q2 2025,2,8101,mock,41468.17,36999.34,4468.83,3351.62,171794.34,85897.17,51538.3,85897.17,6787.51,-4072.51,-1357.5,1357.5,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2025,Q3,Q3 2025,3,8102,mock,42886.26,38200.01,4686.26,3514.69,164281.89,82140.94,49284.57,82140.94,6800.33,-4080.2,-1360.07,1360.07,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Maruti Suzuki,MARUTI,Auto,2025,Q4,Q4 2025,4,8103,mock,41795.0,37384.17,4410.83,3308.12,174338.66,87169.33,52301.6,87169.33,6794.9,-4076.94,-1358.98,1358.98,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
ONGC,ONGC,Energy,2024,Q1,Q1 2024,1,8096,mock,166996.95,148475.97,18520.99,13890.74,714840.29,357420.14,214452.09,357420.14,28187.54,-16912.53,-5637.51,5637.51,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
ONGC,ONGC,Energy,2024,Q2,Q2 2024,2,8097,mock,163313.75,142757.68,20556.07,15417.05,724801.29,362400.64,217440.39,362400.64,29913.08,-17947.85,-5982.62,5982.62,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
ONGC,ONGC,Energy,2024,Q3,Q3 2024,3,8098,mock,161726.98,143235.59,18491.38,13868.54,650131.17,325065.58,195039.35,325065.58,26871.16,-16122.7,-5374.23,5374.23,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
ONGC,ONGC,Energy,2024,Q4,Q4 2024,4,8099,mock,162518.75,145536.62,16982.13,12736.6,652303.54,326151.77,195691.06,326151.77,25782.67,-15469.6,-5156.53,5156.53,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
ONGC,ONGC,Energy,2025,Q1,Q1 2025,1,8100,mock,160589.79,140558.48,20031.32,15023.49,612829.15,306414.57,183848.74,306414.57,27280.07,-16368.04,-5456.01,5456.01,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
ONGC,ONGC,Energy,2025,Q2,Q2 2025,2,8101,mock,171268.7,152057.92,19210.78,14408.08,674042.99,337021.49,202212.9,337021.49,27888.94,-16733.37,-5577.79,5577.79,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
ONGC,ONGC,Energy,2025,Q3,Q3 2025,3,8102,mock,178873.97,159610.79,19263.18,14447.39,723633.23,361816.62,217089.97,361816.62,28920.05,-17352.03,-5784.01,5784.01,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
ONGC,ONGC,Energy,2025,Q4,Q4 2025,4,8103,mock,189465.87,169775.6,19690.27,14767.7,764859.84,382429.92,229457.95,382429.92,30064.9,-18038.94,-6012.98,6012.98,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2024,Q1,Q1 2024,1,8096,mock,226354.39,191810.32,34544.07,25908.05,905649.07,452824.53,271694.72,452824.53,44021.03,-26412.62,-8804.21,8804.21,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2024,Q2,Q2 2024,2,8097,mock,229288.49,198140.5,31147.99,23360.99,897864.12,448932.06,269359.24,448932.06,41318.28,-24790.97,-8263.66,8263.66,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2024,Q3,Q3 2024,3,8098,mock,231516.84,198646.72,32870.12,24652.59,918599.3,459299.65,275579.79,459299.65,43024.58,-25814.75,-8604.92,8604.92,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2024,Q4,Q4 2024,4,8099,mock,238953.52,198603.38,40350.13,30262.6,964157.26,482078.63,289247.18,482078.63,49545.75,-29727.45,-9909.15,9909.15,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2025,Q1,Q1 2025,1,8100,mock,245578.86,208924.86,36654.01,27490.5,888073.52,444036.76,266422.06,444036.76,45251.98,-27151.19,-9050.4,9050.4,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2025,Q2,Q2 2025,2,8101,mock,250295.1,212600.08,37695.02,28271.26,1124487.9,562243.95,337346.37,562243.95,50761.02,-30456.61,-10152.2,10152.2,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2025,Q3,Q3 2025,3,8102,mock,253856.6,215012.61,38843.99,29132.99,1013664.02,506832.01,304099.21,506832.01,49406.27,-29643.76,-9881.25,9881.25,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Reliance Industries,RELIANCE,Energy,2025,Q4,Q4 2025,4,8103,mock,250033.43,209670.97,40362.45,30271.84,1037735.39,518867.7,311320.62,518867.7,51026.55,-30615.93,-10205.31,10205.31,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
TCS,TCS,Tech,2024,Q1,Q1 2024,1,8096,mock,62094.09,46656.42,15437.67,11578.25,256419.87,128209.93,76925.96,128209.93,16706.65,-10023.99,-3341.33,3341.33,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
TCS,TCS,Tech,2024,Q2,Q2 2024,2,8097,mock,66173.1,49784.77,16388.33,12291.25,261593.69,130796.85,78478.11,130796.85,17523.12,-10513.87,-3504.62,3504.62,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
TCS,TCS,Tech,2024,Q3,Q3 2024,3,8098,mock,70631.61,52431.65,18199.95,13649.96,275894.48,137947.24,82768.34,137947.24,19167.85,-11500.71,-3833.57,3833.57,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
TCS,TCS,Tech,2024,Q4,Q4 2024,4,8099,mock,73193.89,55234.61,17959.28,13469.46,285957.86,142978.93,85787.36,142978.93,19188.62,-11513.17,-3837.72,3837.72,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
TCS,TCS,Tech,2025,Q1,Q1 2025,1,8100,mock,75189.08,57830.39,17358.69,13019.02,274817.31,137408.66,82445.19,137408.66,18515.36,-11109.22,-3703.07,3703.07,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
TCS,TCS,Tech,2025,Q2,Q2 2025,2,8101,mock,75424.52,57332.31,18092.21,13569.16,306438.48,153219.24,91931.54,153219.24,19697.93,-11818.76,-3939.59,3939.59,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
TCS,TCS,Tech,2025,Q3,Q3 2025,3,8102,mock,74878.39,57216.31,17662.09,13246.57,321462.66,160731.33,96438.8,160731.33,19675.82,-11805.49,-3935.16,3935.16,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
TCS,TCS,Tech,2025,Q4,Q4 2025,4,8103,mock,75868.79,56850.36,19018.43,14263.82,281856.37,140928.19,84556.91,140928.19,19900.95,-11940.57,-3980.19,3980.19,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2024,Q1,Q1 2024,1,8096,mock,102779.65,91698.13,11081.52,8311.14,385691.92,192845.96,115707.58,192845.96,16024.98,-9614.99,-3205.0,3205.0,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2024,Q2,Q2 2024,2,8097,mock,100763.76,90161.46,10602.3,7951.73,409040.1,204520.05,122712.03,204520.05,16132.53,-9679.52,-3226.51,3226.51,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2024,Q3,Q3 2024,3,8098,mock,103536.25,92823.93,10712.32,8034.24,400063.57,200031.78,120019.07,200031.78,16035.51,-9621.31,-3207.1,3207.1,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2024,Q4,Q4 2024,4,8099,mock,106328.38,95383.92,10944.46,8208.34,410122.35,205061.17,123036.7,205061.17,16410.79,-9846.47,-3282.16,3282.16,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2025,Q1,Q1 2025,1,8100,mock,114406.49,102423.74,11982.74,8987.06,430367.39,215183.69,129110.22,215183.69,17594.41,-10556.64,-3518.88,3518.88,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2025,Q2,Q2 2025,2,8101,mock,118948.04,108212.6,10735.44,8051.58,494516.59,247258.29,148354.98,247258.29,17941.91,-10765.15,-3588.38,3588.38,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2025,Q3,Q3 2025,3,8102,mock,125461.38,113944.88,11516.5,8637.37,526018.82,263009.41,157805.65,263009.41,19157.75,-11494.65,-3831.55,3831.55,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
Tata Motors,TATAMOTORS,Auto,2025,Q4,Q4 2025,4,8103,mock,129524.25,115507.06,14017.19,10512.89,567233.13,283616.57,170169.94,283616.57,21857.56,-13114.53,-4371.51,4371.51,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
HDFC Bank,HDFCBANK,Banking,2024,Q1,Q1 2024,1,8096,real,117286.88,92125.05,25161.83,20173.54,3438065.55,1525140.04,2234742.61,2922355.71,71744.52,-40161.52,-10653.64,20929.36,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
HDFC Bank,HDFCBANK,Banking,2024,Q2,Q2 2024,2,8097,real,117271.98,94146.27,23125.72,17986.52,3396859.64,1815136.01,2207958.77,2887330.7,68939.42,-43897.27,-13766.4,11275.74,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
HDFC Bank,HDFCBANK,Banking,2024,Q3,Q3 2024,3,8098,real,119212.53,95035.39,24177.13,19577.43,3486689.4,1388182.47,2266348.11,2963685.99,71877.77,-34870.26,-12407.29,24600.22,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
HDFC Bank,HDFCBANK,Banking,2024,Q4,Q4 2024,4,8099,real,123208.95,94807.57,28401.39,18433.84,3521715.18,1470202.94,2289114.87,2993457.91,71259.57,-32492.23,-11189.11,27578.23,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
HDFC Bank,HDFCBANK,Banking,2025,Q1,Q1 2025,1,8100,real,125176.65,99751.98,25424.67,19772.85,3534223.58,1548175.82,2297245.33,3004090.04,72786.2,-50283.7,-19878.02,2624.48,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
HDFC Bank,HDFCBANK,Banking,2025,Q2,Q2 2025,2,8101,real,125610.34,98104.97,27505.36,19986.09,3535101.28,1608353.06,2297815.83,3004836.09,73012.61,-41725.53,-11389.66,19897.42,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
HDFC Bank,HDFCBANK,Banking,2025,Q3,Q3 2025,3,8102,real,125829.84,98508.94,27320.91,19225.66,3538952.05,1304538.69,2300318.83,3008109.24,72309.95,-31415.13,-16061.77,24833.04,False,184.98,4.95,159.06,6.3,5.68,83.74,84.04,synthetic_placeholder,True
HDFC Bank,HDFCBANK,Banking,2025,Q4,Q4 2025,4,8103,real,129324.37,104131.39,25192.98,20210.41,3593943.23,1500141.36,2336063.1,3054851.75,74119.56,-37132.51,-9404.51,27582.54,False,187.15,4.7,160.35,6.3,5.66,85.12,84.13,synthetic_placeholder,True
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q1,Q1 2024,1,8096,real,14601.05,11237.2,3363.85,2456.59,74123.49,37591.07,21317.67,37061.75,3568.44,-1681.78,-876.56,1010.1,False,172.0,5.0,152.0,6.5,5.84,80.0,83.0,synthetic_placeholder,True
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q2,Q2 2024,2,8097,real,15229.71,11980.45,3249.26,2609.69,77409.27,31000.34,17160.48,38704.64,3770.83,-1554.46,-822.71,1393.66,False,174.0,4.66,153.2,6.55,5.9,83.91,83.25,synthetic_placeholder,True
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q3,Q3 2024,3,8098,real,14985.83,11568.25,3417.58,2444.33,76862.3,31054.58,25172.15,38431.15,3597.27,-2449.81,-458.67,688.79,False,176.15,4.94,154.57,6.45,5.77,83.39,83.26,synthetic_placeholder,True
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q4,Q4 2024,4,8099,real,14975.86,11619.06,3356.81,2583.17,76299.16,35202.37,24061.48,38149.58,3727.65,-2083.37,-553.07,1091.21,False,178.17,4.58,155.56,6.55,5.93,81.96,83.25,synthetic_placeholder,True
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q1,Q1 2025,1,8100,real,15278.34,11685.08,3593.26,2478.7,76970.04,36645.21,20385.46,38485.02,3633.25,-2420.2,-930.02,283.03,False,180.44,5.1,156.66,6.65,6.02,80.81,83.46,synthetic_placeholder,True
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q2,Q2 2025,2,8101,real,15299.72,11785.51,3514.21,2599.22,78187.45,42478.36,21399.25,39093.72,3772.03,-2246.58,-546.39,979.06,False,182.71,5.04,157.79,6.45,5.8,82.53,83.77,synthetic_placeholder,True
